rand1,rand2,rand3,rand4
13,8,5,0
16,23,9,4
16,27,26,9
16,27,30,31
23,45,30,32
29,45,50,32
29,59,54,40
32,68,54,54
48,74,55,57
48,76,56,80
49,76,58,103

7,1,14,4
8,20,14,10
12,35,14,17
34,36,17,17
39,36,25,30
48,49,29,30
49,49,31,53
67,55,33,53
85,57,39,53
85,58,64,53
103,66,64,53

13,12,0,1
30,12,8,2
30,33,9,6
30,54,10,10
30,69,19,12
37,70,21,28
37,73,26,46
37,73,31,67
50,81,34,69
50,94,39,77
63,104,39,80

1,21,0,4
1,22,8,21
17,29,11,21
36,30,17,21
50,31,28,21
54,31,50,21
71,31,54,26
71,44,63,30
86,47,68,33
88,52,86,34
109,57,86,34

17,4,1,4
24,17,7,4
40,23,11,4
57,23,16,8
57,23,24,26
57,25,48,26
72,36,48,26
89,41,52,26
93,45,53,43
110,45,56,49

16,0,2,8
16,0,15,21
20,16,21,21
21,31,23,29
21,40,40,29
24,40,59,33
24,43,68,47
24,49,68,67
42,54,68,70
43,59,84,74
47,79,86,74
47,102,86,77

7,2,17,0
20,2,24,6
23,21,24,10
37,33,24,10
40,34,45,11
40,52,49,15
59,54,54,15
59,67,66,16
67,68,70,29
81,74,75,30
94,86,76,30
100,86,82,44

4,5,1,16
18,5,1,28
18,19,5,36
19,21,23,41
19,25,40,46
19,30,56,51
23,45,59,55
28,46,59,75
28,47,61,98
28,50,84,98
46,51,87,102

24,0,2,0
32,4,2,14
35,19,10,14
35,38,17,14
35,39,17,39
36,39,42,39
36,39,63,44
39,47,78,44
40,72,78,44
44,74,98,44
44,95,99,48
44,114,99,55

0,3,13,10
0,5,37,10
5,21,37,15
15,35,37,17
33,42,38,17
36,56,47,17
36,56,66,24
39,60,79,30
45,80,79,30
46,86,98,30
68,86,100,32

7,15,4,0
15,16,7,14
28,22,12,16
32,30,26,16
36,31,31,32
36,34,50,36
39,38,51,54
46,54,51,57
47,54,51,82
49,58,51,102

25,1,0,0
31,5,16,0
34,10,20,14
53,13,20,18
69,16,24,21
94,17,24,21
98,19,25,40
98,34,25,51
102,53,28,51

19,0,1,6
23,0,23,6
23,17,25,13
26,17,32,29
41,17,35,37
43,18,55,40
52,21,55,54
70,23,59,56
75,37,66,56
78,41,69,72
91,45,69,81
95,45,69,103

0,2,1,23
14,4,9,25
17,7,29,25
30,11,31,32
43,13,42,32
45,13,57,41
50,29,59,44
50,32,64,62
63,39,66,66
63,41,73,83
66,49,88,83
67,49,88,108

6,2,13,5
11,2,15,24
16,18,19,25
16,19,20,49
18,39,20,53
29,39,34,54
51,42,34,55
51,42,55,60
53,43,57,81
53,52,61,94
57,53,62,114

2,14,10,0
2,30,10,10
10,31,24,13
30,32,26,16
38,33,26,33
40,52,26,38
44,53,46,39
44,57,52,55
63,64,52,55
73,79,53,55
73,94,62,57
81,94,62,75
