paranoid1,paranoid2,paranoid3,paranoid4
1,0,5,20
19,3,10,20
19,16,22,21
24,20,38,22
39,24,38,29
39,24,51,42
40,31,54,57
40,48,62,58
48,66,62,58
48,91,63,58
48,106,74,58

1,20,4,1
2,24,24,2
9,24,27,18
13,32,41,18
17,38,44,31
19,38,48,51
19,41,54,68
23,54,59,72
23,72,67,72
46,72,70,72
46,85,70,85
59,86,70,97
60,93,74,111

0,12,14,0
6,28,14,4
6,35,14,23
7,40,33,24
7,41,57,25
7,46,78,25
7,62,84,29
31,62,84,31
35,75,84,40
35,90,85,50
44,90,102,50

15,1,0,10
18,4,14,16
18,20,22,18
18,37,26,23
18,57,32,23
18,57,37,44
18,74,46,44
30,88,46,44
47,94,46,47
47,117,46,50

2,0,24,0
4,3,41,4
25,3,43,7
25,4,49,26
32,4,64,30
36,8,79,33
36,12,86,48
42,13,87,66
58,18,92,66
63,22,106,69

4,3,4,15
4,13,7,28
4,20,21,33
18,20,24,42
18,42,28,42
18,60,36,42
33,60,46,43
34,61,70,43
37,76,74,47
57,82,74,47
60,99,80,47
60,108,80,64

1,18,3,4
5,19,24,4
22,19,33,4
26,27,47,4
26,31,56,17
27,31,73,25
31,36,73,42
31,43,86,48
33,62,86,53
42,76,88,54
61,77,93,55
79,79,93,61
79,93,93,73
79,97,115,73

4,19,1,2
24,19,5,4
28,19,23,8
36,20,24,24
49,25,25,31
55,26,25,50
56,44,32,50
66,44,35,63
68,68,35,63
69,83,43,65
83,89,44,70
108,89,45,70

0,26,26,26
13,31,26,34
21,47,28,34
23,48,28,57
23,67,32,60
25,67,45,71
27,69,58,80
35,74,58,93
41,88,63,94
45,89,79,99
46,104,80,108

0,16,10,0
0,17,17,18
14,17,17,30
39,18,17,30
39,34,25,32
57,41,25,33
57,47,45,33
72,52,47,37
89,60,48,37
97,60,53,50
97,83,56,50
97,91,56,68
108,92,70,68

22,3,0,1
32,3,0,17
32,7,3,36
32,21,3,48
36,34,9,51
44,51,10,51
60,59,11,52
66,72,11,59
66,74,33,61
73,77,49,61
74,77,50,85
77,77,59,99
82,93,64,99
101,93,71,99

23,0,3,0
28,1,19,4
36,1,20,21
42,2,23,37
43,17,31,39
59,18,35,44
63,19,39,61
65,40,39,64
66,41,50,77
68,43,64,85
83,51,66,86
88,66,67,91
102,74,71,91

1,1,15,9
2,3,19,28
18,7,23,30
35,7,23,39
60,7,23,40
70,9,37,40
76,9,51,46
91,9,62,46
101,22,62,49

6,0,17,3
6,26,43,29
12,30,57,31
12,32,64,48
12,38,66,66
33,40,69,66
33,44,71,86
36,45,74,105

0,13,1,12
0,39,27,38
18,40,27,45
26,42,40,48
31,62,40,49
44,65,40,59
49,73,53,59
49,81,53,77
49,96,58,83
53,110,60,89

3,2,7,14
3,11,7,31
3,34,9,32
4,52,10,38
4,69,14,43
29,69,14,44
35,72,30,45
41,75,32,60
55,86,32,61
60,91,32,77
79,97,33,77
97,97,39,79
97,100,42,99

10,13,0,3
10,17,3,22
31,17,3,27
51,18,6,29
52,21,28,29
64,21,42,29
64,24,63,31
82,25,66,35
93,25,80,36
95,41,84,40
99,41,99,47
101,47,117,47

0,0,19,7
14,0,21,17
39,0,21,18
39,4,42,19
39,7,59,25
54,13,64,25
54,13,86,29
71,13,88,36
74,31,88,41
75,36,105,44

18,4,0,4
31,12,2,7
34,32,2,10
45,32,3,24
51,47,7,25
77,73,7,51
79,74,23,58
85,94,23,58
86,99,41,60
87,102,59,64

0,22,4,0
3,25,5,19
9,25,12,32
13,26,31,34
20,27,45,38
25,43,45,43
27,57,50,48
33,70,51,54
39,75,66,54
43,96,66,55
48,99,84,55
62,107,88,55

0,24,2,0
7,24,15,6
12,26,34,6
18,30,37,19
19,33,45,33
19,38,53,46
32,40,64,46
34,44,64,66
35,44,72,83
35,57,85,83
40,57,92,97
40,61,107,104

10,0,3,13
26,0,9,17
30,0,16,32
30,14,28,32
47,21,29,33
51,21,50,34
69,21,55,37
71,27,72,38
74,45,76,39
74,60,87,39
74,74,93,45
81,75,107,49

5,14,7,0
29,14,8,1
29,39,9,1
44,45,13,2
66,48,14,2
66,48,27,15
70,54,40,18
73,54,45,36
81,70,45,38
83,74,65,38
87,83,65,51
94,88,78,52
95,88,82,73
97,92,83,92
98,92,88,112

0,13,13,0
4,14,17,17
8,15,17,38
27,15,17,45
33,19,31,47
54,20,35,47
54,27,48,53
58,40,48,62
62,41,52,79
75,41,60,84
89,43,61,93
90,43,82,97
92,45,98,103

5,6,0,15
31,6,26,41
48,7,26,49
49,10,26,71
51,13,39,79
67,13,41,87
72,30,41,91
72,54,41,93
93,54,41,98
93,79,41,99
94,84,60,100

