max1,max2,rand1,rand2
16,1,0,9
16,22,5,9
20,35,14,9
20,52,21,11
26,65,22,17
31,80,28,17
31,99,28,24
35,103,42,28

7,14,1,4
11,33,3,5
21,35,3,19
25,43,17,19
28,56,20,26
29,60,28,39
44,63,33,42
60,67,37,44
60,82,40,52
64,85,40,71
65,85,41,95
73,85,58,96
92,85,62,99
93,85,73,113

7,14,1,4
9,32,1,10
10,32,19,17
12,38,23,31
12,51,36,31
21,52,49,34
24,53,50,55
28,57,55,68
29,57,63,85
45,57,66,92
58,58,77,93
66,63,90,93
72,63,103,100

15,0,11,0
19,6,13,14
20,9,17,32
20,23,29,32
26,36,35,33
26,47,50,33
31,48,67,36
31,48,76,53
31,48,91,64
39,48,94,79
56,48,103,79

3,13,7,3
7,30,7,8
7,39,24,8
11,39,24,30
13,40,29,48
29,42,29,56
48,48,29,57
64,54,29,61
69,56,47,62
69,57,51,83
90,58,55,83
91,59,79,83
92,76,81,89
94,82,95,93
108,83,95,104

1,20,4,1
5,21,17,9
9,24,22,23
24,25,31,24
39,26,38,27
48,26,41,41
61,26,50,45
61,26,57,64
74,30,57,73
78,30,58,94
78,36,59,113

7,0,19,0
32,1,19,0
34,3,25,16
39,4,30,31
42,10,34,44
47,16,47,46
48,29,56,49
50,29,61,68
65,34,62,73
68,49,70,73
69,55,70,92
73,56,87,96
75,76,91,96
77,76,112,99

23,0,3,0
23,16,12,1
41,18,18,1
46,33,21,4
46,36,21,27
63,40,26,27
69,55,27,31
69,60,44,35
74,60,48,52
74,64,53,69
79,65,69,73
80,72,70,90
99,74,70,95
113,77,70,104

0,12,0,14
0,34,4,14
6,36,17,19
19,42,24,19
31,42,38,19
42,56,39,19
42,66,55,19
42,68,59,39
43,76,75,40
49,76,79,56
49,76,86,75
54,93,86,79
68,100,87,83

26,0,26,26
34,0,42,28
41,14,42,33
58,21,42,35
65,21,47,49
66,27,47,68
67,32,52,83
67,42,67,84
67,61,74,84
89,62,76,85
94,66,90,88
94,69,112,89

1,17,8,0
5,32,10,5
23,40,10,5
29,40,11,24
50,44,12,24
50,45,29,32
56,45,49,32
57,70,49,32
57,76,51,50
57,77,75,51
75,77,81,53
81,90,81,60
81,90,96,71
81,90,109,84

0,22,0,4
8,22,4,18
9,23,11,35
11,23,31,39
19,40,32,39
41,41,35,39
57,45,38,42
60,46,53,49
64,50,71,49
84,51,73,52
102,51,81,52

22,4,0,0
25,4,16,7
25,5,20,28
29,19,24,32
41,19,25,45
51,19,41,45
56,19,59,48
56,22,64,66
56,35,64,79
57,42,66,95
57,46,85,98
68,60,85,99
68,80,87,103

3,5,17,1
10,18,22,2
15,24,23,16
30,28,23,23
30,28,32,40
45,36,32,43
51,36,32,63
55,43,47,63
68,56,47,63
73,70,47,70
80,71,61,74
95,75,62,80
109,80,66,83

16,1,0,9
33,2,4,13
33,8,20,17
48,16,23,17
52,16,23,39
52,18,36,50
56,34,42,50
60,36,43,69
65,49,48,72
68,53,51,88
68,54,72,92
91,55,74,92
99,69,74,96
121,72,74,97

0,5,6,15
8,23,6,15
8,43,6,21
16,48,19,21
20,56,32,22
26,56,35,39
28,62,49,43
35,77,49,47
51,77,53,53
77,103,53,79

0,17,4,5
17,17,10,8
37,17,15,9
37,38,15,14
37,59,19,15
38,61,34,23
38,63,54,27
43,77,54,34
50,77,54,53
57,77,70,56
60,86,84,56
60,91,84,77
61,91,97,89
78,92,101,93

18,7,0,1
22,10,17,3
31,11,32,4
34,16,35,19
37,16,44,33
62,16,45,33
67,30,46,39
87,30,47,44
96,30,50,58
113,31,54,62

0,0,20,6
5,3,20,24
18,9,20,31
37,9,20,38
52,9,27,42
56,10,43,47
63,11,43,65
67,12,63,66
69,29,67,69
71,35,71,83
87,35,79,85
87,39,98,88
100,39,107,92

7,2,15,2
24,2,16,10
39,9,20,10
42,24,23,15
49,24,42,15
66,25,47,18
67,43,50,22
75,43,54,36
79,44,54,57
84,65,54,57
100,71,54,61

16,4,0,6
16,8,15,13
16,30,18,14
21,43,23,17
24,66,23,17
28,66,45,17
28,90,47,17
49,90,47,22
62,98,48,26
66,106,61,27

17,3,5,1
17,22,6,7
22,36,6,14
25,38,7,34
27,61,7,35
27,87,33,61
27,90,54,63
28,96,54,82
34,115,54,83

6,0,16,4
10,2,21,19
14,17,21,26
19,30,24,31
26,45,28,31
33,47,29,47
39,49,46,48
40,53,67,48
49,53,84,48
49,56,102,53

2,20,4,0
6,35,11,0
23,41,14,0
29,41,15,19
44,44,16,26
44,57,21,34
46,61,21,54
47,61,28,72
48,62,36,88
70,62,37,91
70,67,58,91
76,80,65,91
88,81,65,104

5,1,20,0
5,6,40,1
24,6,44,4
37,7,52,8
37,29,56,8
37,29,64,26
42,49,65,26
42,51,68,47
42,54,89,49
56,58,90,56
63,63,90,70
89,89,90,96
93,107,90,100

