paranoid,max1,max2,max3
14,5,0,7
40,5,26,33
55,10,27,38
59,12,30,55
72,12,39,59
73,16,59,60
80,17,59,78
100,21,61,78

4,2,20,0
5,3,39,5
9,3,45,21
9,16,45,34
9,24,59,38
10,35,73,38
21,35,75,51
21,35,88,64
27,49,88,70
43,53,90,74
46,62,104,74

19,0,0,7
20,13,3,16
24,14,16,24
36,15,16,37
39,31,21,39
39,34,36,47
43,42,36,61
43,43,55,67
45,43,78,68
61,43,86,70
64,56,87,79
82,63,87,80
82,81,90,85
82,100,90,92

7,0,5,14
30,0,5,17
35,0,26,17
38,2,26,38
43,19,29,39
51,37,29,39
53,37,34,58
53,51,45,59
73,53,49,59
86,57,54,63
90,60,68,68
99,60,83,70
102,61,97,78

7,17,1,1
8,25,1,18
24,30,1,23
24,51,4,25
30,53,8,39
44,57,10,45
52,71,12,47
66,81,14,47
70,95,18,51
72,98,35,55
90,103,35,58

4,14,5,3
5,18,5,24
8,32,9,29
23,32,20,29
24,50,24,32
39,50,24,43
40,51,29,62
44,56,31,77
70,56,57,103

1,5,20,0
7,25,20,0
21,35,20,2
24,35,26,19
24,40,28,38
42,40,32,42
58,45,33,46
71,48,34,55
76,68,35,55
76,90,35,59
77,101,35,73

4,21,0,1
21,21,0,10
23,26,1,28
23,35,18,28
23,42,31,34
26,42,36,52
26,42,37,77
42,46,37,83
55,53,40,86
74,54,40,92
74,54,57,101

0,5,1,20
0,10,6,36
0,17,11,50
2,17,11,74
18,18,19,75
18,18,31,89
33,18,35,96
33,22,35,118

4,3,17,2
10,17,20,5
11,25,34,8
11,27,41,25
11,33,41,45
13,36,56,51
36,36,56,54
39,41,69,59
39,46,90,59
44,50,107,59

1,18,1,6
2,37,7,6
6,37,26,9
6,52,27,19
25,52,30,23
25,69,38,24
26,86,46,24
44,86,53,25
46,99,64,25
59,100,74,27

4,0,0,22
6,5,0,41
6,31,26,67
19,31,34,72
19,51,40,72
19,68,49,72
19,68,50,97
38,68,57,97
38,92,59,97
47,92,72,101

10,0,14,2
29,2,14,7
30,20,19,9
52,22,20,10
70,30,20,10
92,30,24,10
92,48,28,14
117,49,28,14

0,1,13,12
0,12,13,27
3,27,14,34
3,31,36,34
9,47,36,38
29,52,36,39
48,52,43,39
50,58,47,53
53,59,69,53
57,64,69,70
65,66,69,86
71,79,75,87
71,81,80,106

20,4,1,1
20,9,1,22
39,13,1,25
46,28,4,26
53,28,20,29
66,29,32,29
66,35,33,48
80,40,37,51
82,40,61,51
83,57,63,57
83,83,89,83
95,96,90,83
96,98,109,87

6,15,5,0
15,17,20,0
18,21,39,0
31,25,40,8
31,32,46,21
37,32,66,21
37,38,68,39
56,38,71,43
62,58,71,43
65,58,78,59
74,58,91,63
82,62,105,63

2,9,2,13
6,27,2,17
6,27,19,26
12,32,20,40
12,35,23,60
12,39,27,78
12,39,31,100

5,0,3,18
10,19,3,20
13,19,24,22
13,26,39,26
21,26,53,30
25,28,73,30
44,28,77,33
47,37,77,47
47,37,95,55
73,63,95,81
87,68,96,87
92,84,96,92
93,85,115,97

15,5,2,4
20,5,6,21
22,13,9,34
28,13,11,52
33,16,13,68
33,17,33,73
51,21,37,73
52,21,37,98
66,22,43,103

0,6,6,14
2,24,6,20
18,24,6,30
31,25,6,42
49,29,6,46
50,51,7,48
52,51,22,57
53,57,26,72
57,57,32,88
61,59,48,92
62,74,48,102

4,5,4,13
14,21,4,13
36,21,4,17
53,25,6,20
57,40,13,20
60,42,20,34
67,44,37,34
68,52,50,38
78,52,66,38
81,52,88,39
86,68,88,44
86,68,102,56

1,19,6,0
20,19,10,3
20,23,25,10
24,41,29,10
27,49,43,11
36,50,58,12
48,50,71,13
48,58,88,14
48,71,98,17
50,71,116,23

4,0,21,1
22,1,24,5
23,9,26,20
23,34,26,21
23,34,29,44
24,41,29,62
43,41,29,69
44,41,38,85
44,48,42,100

6,1,19,0
14,5,19,14
19,10,34,15
25,26,36,17
25,28,60,17
47,32,60,17
62,39,63,18
66,39,65,38
83,47,65,39
96,52,71,41
110,52,74,50

0,19,5,2
1,19,25,7
10,19,41,8
14,19,60,11
14,38,61,17
14,42,81,19
23,42,83,34
37,45,85,41
37,52,99,46
37,59,102,62

