paranoid1,rand1,rand2,rand3
0,0,4,22
19,1,8,24
22,1,27,28
38,1,36,29
38,8,41,43
49,8,43,56
54,22,46,60
76,26,46,60
82,42,48,62
85,56,52,67
95,56,54,81
110,60,58,84

3,1,17,5
11,1,34,6
16,21,35,6
16,30,35,23
16,32,35,47
16,40,36,64
18,53,41,70
36,59,43,70
41,72,49,72
58,74,52,76
69,74,67,76
89,74,72,77
94,75,91,78
95,88,91,90
110,92,98,90

0,25,1,0
5,30,3,14
11,34,4,29
12,34,12,46
16,54,14,46
35,58,17,46
35,62,20,65
38,63,20,87
52,63,21,98
67,64,31,98
67,64,43,112

0,21,5,0
5,21,5,21
20,26,7,25
21,26,7,50
22,28,26,54
25,28,41,62
25,41,41,75
31,41,61,75
41,42,76,75
41,43,90,86
41,51,105,89

14,0,12,0
14,3,28,7
18,16,32,12
32,20,32,20
35,37,38,20
35,37,60,24
39,45,60,38
39,65,63,41
39,80,73,42
58,84,76,42
65,101,77,43

0,21,1,4
0,23,5,24
0,30,20,28
6,30,26,42
10,46,29,45
15,63,33,45
20,66,33,63
20,70,51,67
24,71,70,69
40,72,76,72
59,72,79,76
85,98,105,76

4,13,3,6
4,14,14,20
6,14,35,23
7,17,54,26
8,20,70,32
14,21,87,34
20,22,91,49
27,23,104,54

0,9,13,4
24,9,15,4
25,22,19,12
28,23,36,17
41,23,43,23
44,23,66,23
67,26,66,23
72,31,80,25
98,57,80,51
105,61,95,51

9,13,0,4
23,13,0,16
25,14,10,29
25,15,27,37
39,19,27,45
39,40,27,50
39,62,31,50
39,63,52,54
39,65,62,68
52,75,62,71
67,86,62,71
88,86,66,72
109,86,69,74

0,7,19,0
4,12,36,0
7,25,39,7
23,28,46,7
23,34,52,21
27,37,56,36
38,37,57,50
44,37,70,57
60,41,74,59
63,41,84,72
77,41,95,73
78,66,95,73
85,69,111,73

9,3,14,0
14,8,16,14
21,11,19,27
37,11,29,27
44,30,29,27
44,34,30,48
50,34,46,52
71,38,46,53
94,38,48,54
100,42,61,57

1,16,0,9
7,19,14,12
8,36,22,12
25,45,22,12
30,63,22,15
30,77,27,22
46,84,30,22
48,108,30,22

1,1,20,4
5,7,20,20
22,7,24,25
27,7,39,31
27,15,41,47
46,16,43,51
52,16,56,58
56,16,72,64
60,30,72,72
77,30,73,80
93,30,73,90
97,36,88,91
100,49,97,92

1,24,0,1
19,25,3,5
34,32,7,5
39,32,28,5
49,46,30,5
49,53,48,6
66,53,48,15
88,57,48,15
101,65,49,19

6,13,6,1
20,23,6,3
21,26,19,12
35,34,19,16
39,35,25,31
65,35,51,57
84,36,54,60
84,37,77,62
84,40,78,84
94,40,93,85
98,59,94,87
98,67,99,100

5,2,0,19
5,6,21,20
20,6,32,20
35,13,32,24
39,35,32,24
56,43,32,25
63,43,32,44
79,48,33,48
83,52,46,53
83,57,53,67
90,62,54,80
92,75,59,86
92,77,74,95
96,96,75,97
104,96,80,110

0,17,9,0
16,21,14,1
27,21,28,2
27,22,48,7
41,23,49,17
57,24,52,23
57,25,57,43
57,50,57,44
70,55,63,46
83,68,63,46
83,72,78,53
87,73,96,56
87,78,117,56

0,20,6,0
3,28,6,15
3,51,6,18
3,63,7,31
24,63,8,35
29,63,25,39
30,64,31,57
31,78,42,57
31,91,51,61
32,98,65,65
33,103,67,83

0,4,20,2
14,9,22,7
16,9,32,21
25,24,34,21
27,42,34,27
48,45,36,27
48,58,45,31
61,62,53,32
68,68,66,32
72,71,81,36
98,97,107,36

22,4,0,0
22,12,5,13
37,19,9,13
39,20,25,20
43,35,31,21
44,48,40,24
60,49,47,26
60,50,55,43
67,50,56,61
67,54,76,63
68,58,84,76
68,58,98,88
71,76,98,93
73,80,115,96

8,13,2,3
27,13,4,8
31,22,17,8
49,22,20,13
49,28,33,20
49,32,39,36
53,37,52,40
61,55,52,40
76,59,52,47
76,65,58,61
81,66,75,64
103,67,75,67

1,6,16,3
14,6,23,9
23,6,36,13
30,6,37,31
37,6,51,36
48,6,51,51
48,21,62,51
52,29,76,51
56,43,80,55
63,59,81,57
63,59,101,63

14,8,0,4
16,15,17,4
18,21,17,22
22,21,17,44
34,34,17,45
35,48,24,49
39,50,38,55
39,64,49,56
42,66,70,56
46,80,78,56
48,84,94,60
68,84,100,60

1,13,6,6
19,16,11,6
44,16,12,6
51,18,13,22
69,22,17,22
69,27,33,27
75,30,33,44
76,53,35,44
99,54,36,45
101,54,45,60

1,3,2,20
27,29,2,46
27,35,22,46
29,36,38,53
40,50,38,54
44,50,38,76
45,57,56,76
50,76,58,76
60,76,59,91
86,76,85,117

