paranoid1,max1,paranoid2,max2
5,1,19,1
25,3,23,1
27,10,39,2
48,13,40,3
48,36,40,6
52,36,42,26
52,60,44,26
53,85,44,26
55,86,63,30
71,87,67,35
74,87,71,54
91,87,80,54
94,96,80,68
95,97,101,71

0,1,19,6
16,5,24,7
20,8,24,26
21,10,42,31
23,16,45,46
41,16,45,54
41,21,63,57
42,36,69,61
57,37,71,69
58,54,71,77
67,54,71,94
83,56,79,94
87,71,79,101

17,3,4,2
22,5,19,6
28,18,25,7
39,19,39,7
52,26,41,11
58,28,43,27
59,37,46,40
59,43,47,59
59,56,47,72
62,72,51,75
65,72,74,75
68,72,74,98
75,72,92,99
77,88,95,104

0,10,14,2
10,10,29,3
15,23,30,10
18,39,30,17
36,41,30,23
36,57,38,25
41,73,38,30
41,94,38,35
47,108,40,39

4,14,4,4
5,39,4,4
5,45,7,21
5,47,21,31
13,51,21,45
30,52,29,45
46,59,29,48
47,60,44,57
47,69,61,57
65,72,63,60
73,72,68,73
73,81,72,86
74,94,77,93
77,117,77,93

4,1,14,7
18,6,21,7
18,9,44,7
31,14,48,11
37,19,62,12
38,21,70,27
38,25,91,28
44,32,91,41
45,38,92,59
64,42,92,62
68,42,108,68

0,1,25,0
2,11,25,14
12,13,25,28
27,14,25,38
40,19,30,41
45,21,32,58
45,28,37,72
51,30,54,73
60,30,54,90
64,30,57,109

15,5,2,4
15,13,3,21
32,17,3,26
32,36,10,26
32,43,24,31
38,48,26,44
39,73,26,44
45,87,26,50
45,87,34,68
46,92,36,86
59,100,40,87

17,1,5,3
22,4,23,3
22,11,28,17
42,14,28,20
55,19,30,26
61,24,45,26
64,25,65,28
83,29,65,31
90,29,81,34
94,33,81,52
94,37,84,71
94,37,88,93
100,38,89,111

5,0,0,21
5,7,18,22
9,29,18,22
17,46,18,23
23,47,24,36
41,49,24,42
41,50,49,42
45,64,52,47
46,77,64,47
49,98,64,49
62,109,65,50

8,2,14,2
13,7,15,17
31,8,22,17
35,12,26,31
38,12,31,49
58,13,31,54
58,30,31,63
61,43,32,72
80,45,32,77
85,50,48,77
87,61,61,77
94,61,80,77
102,65,80,91

14,1,0,11
21,1,1,29
21,12,3,42
24,29,3,48
28,30,24,48
28,44,28,56
32,44,50,56
32,65,54,57
32,69,60,73
36,85,66,73
36,88,69,93
49,89,77,97
52,102,87,97

3,15,0,8
9,15,19,9
22,19,20,17
29,21,20,34
29,25,34,42
47,27,40,42
61,27,41,53
77,29,41,61
77,33,47,77
81,37,50,92
82,54,58,92
86,57,59,110

2,16,4,4
3,23,22,4
18,23,22,15
18,30,39,17
23,43,42,22
23,47,47,39
27,60,50,45
29,81,50,48
34,81,54,65
47,82,54,77
64,83,58,81
77,86,62,87
77,108,62,91

2,9,15,0
8,9,31,4
12,16,44,6
16,19,47,22
16,28,60,26
29,33,66,28
50,37,66,29
75,37,66,30
76,43,67,48
85,43,84,48
85,59,93,49
89,61,100,62

4,3,5,14
4,11,20,17
19,14,24,21
21,38,24,21
29,39,27,35
32,56,33,35
35,77,33,37
48,89,34,37
51,92,34,57
69,96,34,61
71,110,35,70

0,17,1,8
7,17,19,9
27,21,21,9
40,29,24,11
60,29,26,15
60,35,40,21
67,54,40,21
68,56,63,21
71,77,65,21
78,95,65,22
83,95,82,26
87,95,89,41
93,96,107,42

1,4,20,1
1,5,34,12
7,5,47,19
28,5,48,23
35,19,48,28
36,33,48,39
45,50,48,39
66,53,48,41
70,53,67,44
74,54,67,65
75,61,67,83
77,61,68,106

5,5,0,16
11,20,3,18
14,34,12,18
15,58,12,19
32,58,16,24
45,68,19,24
45,87,26,24
46,91,43,28
49,94,59,32
64,96,64,36
72,101,64,49

7,15,1,3
20,20,5,7
24,33,10,11
29,37,13,25
30,43,26,31
30,69,52,57
47,73,54,60
52,76,67,65
61,76,68,81
70,76,68,98
85,76,74,103

2,0,23,1
7,17,23,5
10,23,40,5
10,24,44,26
12,45,44,29
18,45,44,49
33,56,44,49
39,56,44,69
39,75,51,69
42,98,51,69
43,105,51,87

25,1,0,0
28,1,20,3
28,5,34,11
28,7,34,35
31,8,34,57
31,8,35,82
33,21,36,92
40,26,36,106

4,15,2,5
18,19,6,9
24,35,6,13
29,35,23,17
29,55,24,22
29,61,40,26
47,61,46,28
47,78,48,35
49,84,61,40
67,85,61,47
74,86,75,51
75,104,82,51

0,5,19,2
3,27,20,2
12,27,37,2
20,31,37,16
24,45,42,19
45,48,42,21
61,51,44,26
68,52,46,42
73,66,52,43
75,87,55,43
79,87,76,44
96,88,80,48
97,91,84,66
118,95,84,67

3,5,16,2
10,8,19,15
10,12,41,15
14,18,56,16
34,23,56,17
38,27,56,35
38,47,61,36
46,60,65,37
54,73,69,38
55,91,69,45
69,91,73,53
69,105,81,57

