paranoid1,rand1,rand2,rand3
0,2,11,13
3,2,24,23
8,2,31,37
21,10,31,42
24,12,49,45
37,16,52,51
40,16,68,58
40,22,69,77
41,25,69,99
44,28,69,119

1,0,8,17
19,4,12,17
22,9,25,22
23,10,41,30
23,33,41,33
24,37,57,38
27,41,75,39
32,62,75,39
32,66,94,42
37,66,97,60
37,85,102,62

18,4,0,4
18,11,15,8
21,26,21,10
42,30,22,10
42,35,26,27
46,39,43,28
53,39,60,30
59,57,62,30
60,61,65,48
66,77,65,52
67,94,72,53
67,111,73,61

14,0,6,6
15,13,9,15
15,20,9,34
29,24,13,38
31,30,13,56
48,34,18,56
48,53,19,62
48,74,24,62
52,90,29,63
77,90,29,64
95,93,33,65
111,98,37,66

0,6,6,14
1,6,21,24
5,6,36,31
9,10,54,31
26,10,62,32
32,10,66,48
32,10,75,65
46,18,75,69
59,18,76,81
64,35,80,81
70,35,96,85
70,38,115,89

0,6,20,0
3,10,39,0
5,23,39,11
9,31,53,11
15,32,72,11
28,33,74,21
31,33,76,42
47,40,76,45
47,48,89,50
67,53,90,50
68,74,90,54
72,95,90,55
92,97,94,55
92,112,105,55

0,4,5,17
0,25,6,21
0,25,15,38
0,47,15,42
6,49,33,42
23,50,35,48
31,50,36,65
36,54,52,66
40,59,69,66
58,67,69,66
63,67,83,73
65,80,89,78
74,80,106,78

20,4,1,1
25,4,9,14
27,10,10,31
32,10,14,48
32,27,15,56
50,29,19,58
50,31,38,63
50,35,60,63
50,39,69,76
67,41,69,83
67,42,73,104

0,0,2,24
0,6,18,28
8,20,19,31
12,21,36,35
14,21,56,39
14,29,73,40
14,31,73,64
14,31,79,84
15,34,98,87
15,59,99,87
30,66,102,88

16,2,8,0
24,5,10,13
25,19,18,16
45,19,22,18
57,20,35,18
57,29,39,31
62,32,56,32
78,37,61,32
91,40,62,41
97,40,62,61
112,40,69,65

5,4,17,0
10,4,19,19
14,21,23,20
16,24,24,40
21,37,28,44
21,57,34,44
38,58,34,52
55,58,43,52
55,69,44,66
55,83,47,75
63,100,47,76

1,1,4,20
22,1,4,25
25,14,14,25
25,14,24,41
47,14,24,45
51,14,45,46
57,15,50,60
63,28,56,61
88,29,56,61
88,55,82,87
92,55,85,106

4,14,0,8
5,14,15,18
25,14,21,18
39,15,29,21
45,15,31,39
45,36,35,40
60,36,46,40
67,53,46,42
73,70,49,42
91,76,50,43
107,80,50,49

8,0,16,2
25,2,20,5
26,6,41,5
33,19,43,9
51,19,47,13
53,22,52,29
60,22,55,45
77,22,63,46
78,24,65,67
91,27,75,67
111,32,75,68

20,2,0,4
25,2,21,4
27,10,21,20
36,10,25,33
40,26,26,38
40,42,36,38
40,58,37,47
41,62,58,47
43,77,64,50
48,90,71,51
50,99,73,64
56,99,90,67
62,99,104,73

4,13,6,3
20,14,11,7
20,16,17,25
24,16,26,38
41,19,32,38
54,27,32,43
60,31,32,59
60,31,57,60
61,35,75,63
61,38,78,83
80,40,82,84
101,40,84,87

26,26,0,26
26,46,0,32
30,47,4,49
36,60,11,49
39,74,20,49
39,96,20,53
55,99,20,60
55,103,20,82

17,5,4,0
20,10,9,13
25,10,22,21
34,12,23,35
39,31,23,37
50,32,23,51
62,32,24,64
75,33,32,68
75,33,53,73
84,33,66,77
84,56,69,77
106,56,73,77

3,6,0,17
12,7,1,32
12,11,10,45
16,12,16,60
16,33,21,60
20,50,21,65
27,52,22,81
34,65,28,81
49,73,29,83
57,73,29,101

1,14,0,11
1,31,8,12
15,37,8,18
15,40,22,27
32,47,24,27
47,47,31,31
60,47,42,33
61,61,50,36
67,77,50,40
84,86,50,40
88,106,52,40

7,2,13,4
12,2,18,20
17,4,31,26
30,4,40,30
34,18,48,30
34,22,53,47
34,22,55,71
36,31,56,85
36,57,82,111

2,2,14,8
11,15,18,8
12,33,21,12
12,49,25,18
25,49,25,31
31,68,26,31
31,85,26,40
31,89,43,45
49,90,47,48
54,90,62,54
55,93,71,67
55,96,88,73
57,110,90,81

4,13,3,6
19,17,10,6
19,33,13,13
27,33,13,31
28,52,18,32
28,60,18,50
41,62,20,59
55,69,20,64
55,77,24,78
60,77,37,86
65,82,50,89
81,89,52,90
85,90,53,110

7,14,0,5
27,20,0,5
33,23,13,9
37,36,18,13
53,38,20,19
53,44,26,33
71,46,26,39
76,49,44,39
77,59,59,39
78,63,76,43
82,64,78,62
95,65,86,66
98,65,103,72

5,13,4,4
7,15,20,10
13,19,36,10
14,30,36,24
22,47,37,24
22,48,41,45
22,68,41,51
29,69,45,65
29,73,63,69
45,75,63,77
45,97,67,77
45,97,76,94
49,97,90,102

