max1,max2,rand1,rand2
0,0,18,8
0,0,21,31
0,0,38,40
0,10,41,53
1,13,42,74
3,30,46,77
23,32,46,81
30,47,49,82
52,47,49,86
55,48,62,95
71,52,66,97
72,56,66,118

9,14,3,0
24,14,14,0
25,14,37,2
25,17,52,10
25,17,75,13
39,23,81,13
42,23,103,14

1,8,17,0
8,9,33,2
9,25,33,11
28,26,36,14
46,31,38,15
57,31,51,17
73,38,51,20
79,38,55,36
87,38,70,39
95,38,83,44
95,58,89,44
97,58,89,68
101,71,97,69

9,13,2,2
9,13,22,8
9,35,22,12
9,35,24,36
14,37,40,39
16,44,57,39
16,51,75,40
33,52,80,43
34,59,94,47
36,78,99,47
41,98,99,48
41,123,99,49

4,14,5,3
26,14,5,7
31,19,5,23
36,35,8,25
36,41,11,42
53,45,11,47
72,51,12,47
78,68,12,50
81,83,16,54
81,90,34,55
82,97,38,69
101,97,40,74

21,1,4,0
25,5,18,4
42,5,25,6
55,7,29,13
58,24,35,13
59,24,57,16
63,46,57,16
63,49,62,34
76,54,62,42
96,54,64,46
118,54,64,50

8,18,0,0
16,18,18,0
17,26,22,13
17,27,33,27
19,44,35,32
20,51,35,50
21,58,49,54
25,58,67,58
27,79,70,58
27,96,73,64
31,116,73,66

20,5,0,1
20,12,13,7
24,12,22,20
42,12,22,28
42,33,27,28
55,33,40,28
55,39,56,32
69,50,57,32
77,51,57,49
78,52,77,53
91,57,78,60
93,74,78,67
97,89,78,74
104,89,79,92

0,9,1,16
24,11,1,16
26,24,1,27
27,37,7,33
32,41,20,37
32,60,26,38
56,62,26,38
61,62,30,55
66,62,47,59
72,77,47,64
74,87,47,78
74,89,70,79
92,93,74,79
96,110,78,80

19,1,6,0
33,5,9,5
35,5,26,12
38,11,26,29
38,36,26,30
38,38,47,33
38,41,51,52
40,42,51,75
46,42,51,95
56,43,65,96
56,68,66,96
76,70,67,99
80,76,67,115

18,4,3,1
23,19,7,3
23,20,32,3
23,21,36,24
27,25,40,38
46,31,40,39
49,31,56,46
63,36,60,49
63,55,67,49
63,81,93,75
87,81,95,75
87,92,95,90
92,97,95,106

0,21,0,5
20,21,0,11
20,24,19,15
36,24,19,25
53,25,25,27
53,26,50,27
73,26,54,29
81,40,54,33
90,40,67,37
107,40,67,46

14,7,0,5
31,11,0,10
48,20,0,10
51,20,23,10
59,24,37,10
62,25,50,19
74,25,64,19
75,25,64,44
91,28,64,51
95,30,83,52
111,36,87,52

18,3,5,0
36,3,13,0
40,16,21,1
41,19,21,23
41,44,22,23
54,44,35,23
68,45,41,28
81,50,44,33
94,52,51,37
110,52,57,41

13,12,1,0
14,12,5,21
17,14,5,42
22,16,18,48
38,21,21,50
42,21,34,59
55,30,34,63
60,31,49,68
60,51,52,71
60,51,71,78
60,55,72,99
74,55,75,108

15,0,10,1
19,1,25,7
37,1,25,15
37,8,44,15
40,12,45,33
42,12,63,39
57,17,63,45
58,17,63,70
62,17,68,87
64,17,86,93
67,27,86,106

0,5,16,5
5,22,20,5
11,23,24,20
13,25,29,37
13,45,29,43
18,45,45,48
18,48,46,70
28,48,59,73
45,48,64,77
46,61,69,84
61,65,76,84
68,65,91,88
76,66,107,89

1,4,7,14
9,8,8,27
13,8,28,29
18,22,35,29
18,40,42,30
36,44,44,32
43,58,49,32
43,62,62,41
43,70,80,41
47,70,102,41

11,15,0,0
11,28,6,7
24,39,6,9
28,55,12,9
28,59,12,31
28,62,30,36
46,62,30,44
64,63,33,48
64,68,37,65
65,68,44,83
81,69,47,89
107,95,47,115

6,5,15,0
6,7,35,4
23,15,36,4
42,19,39,4
42,25,46,17
42,28,50,36
55,38,53,36
55,47,55,51
55,51,77,51
55,51,94,60
62,57,107,60

18,1,6,1
35,3,9,5
39,12,9,18
44,20,9,31
57,25,17,31
64,40,21,31
64,46,22,50
66,52,27,63
82,55,34,63
82,75,34,69
106,77,34,69

8,0,18,0
29,1,22,0
43,1,31,3
62,3,32,7
66,7,36,21
86,12,36,22
89,17,49,27
90,26,51,41
94,40,55,45
98,55,55,52
110,56,68,52

0,12,0,14
0,21,0,31
22,21,3,32
48,47,29,32
61,50,38,33
64,50,42,52
64,59,45,66
79,67,45,69
79,80,51,76
84,94,55,79
97,99,55,87
102,114,55,93

1,0,10,15
14,8,11,19
18,25,12,23
23,28,30,23
41,31,30,28
63,31,30,32
73,31,46,32
83,31,61,33
87,32,66,49
103,32,69,56

7,19,0,0
12,25,2,13
12,32,21,13
14,47,21,22
20,62,21,27
33,71,25,27
55,71,26,30
69,71,29,39
73,86,36,39
82,100,38,40

