max1,max2,rand1,rand2
0,7,16,3
25,7,16,4
41,10,20,7
55,17,24,8
63,17,26,24
67,17,39,33
67,20,49,46
67,28,54,59
79,41,54,60
79,42,75,64
84,42,77,83
88,44,80,100

6,7,13,0
11,12,16,13
29,13,20,16
33,16,20,35
37,16,41,36
52,24,41,39
52,27,46,57
70,27,50,61
70,43,54,67
83,48,57,72
97,57,59,73
109,70,60,73

15,4,7,0
15,5,29,3
17,6,42,13
17,6,62,19
23,6,82,19
49,32,108,19

8,16,2,0
25,23,3,1
30,28,6,14
34,29,26,15
36,29,43,22
51,30,50,25
55,43,54,30
59,47,58,44
59,47,70,58
62,50,86,62
69,51,104,62

2,17,2,5
7,24,15,6
33,50,41,6
37,68,45,6
39,82,51,10
39,83,51,35
41,96,59,38
43,110,61,46

13,0,10,3
30,5,10,7
50,5,11,12
50,8,30,16
51,15,48,16
70,19,51,16
83,31,52,16
84,46,58,20
88,46,63,37
88,51,84,37
89,64,92,41
93,80,94,45
93,83,112,50

6,14,6,0
10,31,6,5
29,36,7,6
48,36,11,9
48,50,19,13
51,51,19,35
55,55,37,35
55,73,45,35
59,74,66,35
63,87,67,43
84,89,69,44
104,90,74,44

1,0,24,1
2,3,44,3
10,6,59,3
28,7,63,6
30,10,80,10
46,12,84,14
46,15,97,24
55,16,113,24

0,7,6,13
0,13,11,28
10,13,14,41
15,17,27,45
22,18,44,46
22,22,65,47
22,26,69,65
41,26,76,65
41,45,82,66
41,67,86,66
49,68,86,83
54,69,99,90
79,70,99,90
82,83,100,99

2,22,0,2
2,26,17,7
7,47,17,7
22,51,19,12
31,51,36,12
36,65,36,19
38,69,56,19
43,87,56,22
63,87,61,23
64,107,63,26

17,4,4,1
34,6,11,1
36,7,11,24
36,25,14,29
54,28,19,29
75,31,21,29
80,34,21,47
85,35,24,64
104,36,24,70

0,10,13,3
4,23,14,11
18,23,15,22
18,26,21,39
19,49,21,41
20,65,25,46
37,67,29,49
51,67,29,61
58,80,32,64
62,86,48,64
64,100,56,66

6,7,13,0
14,12,13,13
30,20,13,15
43,26,19,16
47,33,19,31
49,48,23,36
52,66,24,40
73,70,24,41
80,70,24,60
80,81,24,75
98,85,24,79
102,85,46,79

1,0,1,24
14,2,7,29
16,10,7,45
33,10,10,51
37,27,14,52
53,30,18,55
56,37,18,71
60,53,24,71
64,70,25,75
70,77,38,75
74,90,38,84
84,105,39,84

21,4,0,1
22,15,14,1
26,36,14,2
32,39,31,2
39,39,49,3
40,63,50,3
43,65,71,3
45,65,77,21
55,66,77,36
72,66,77,45
72,68,78,68
73,86,82,71
74,89,97,78
80,106,97,81

4,14,2,6
14,14,3,21
32,18,7,21
35,18,26,25
38,18,49,25
38,18,61,39
38,33,72,39
57,38,73,40
71,43,75,45
75,48,78,59
98,48,79,61
99,51,93,69
105,69,95,69

22,1,3,0
27,1,18,6
32,1,39,6
39,1,40,24
40,6,45,39
44,7,62,43
48,10,62,62
53,12,64,79
61,26,68,79
64,26,83,87
70,40,86,90
70,59,90,93
74,59,104,101

7,14,5,0
11,17,18,6
12,17,22,27
13,21,26,44
13,22,46,49
14,43,46,53
34,49,46,53
40,54,60,54
40,56,80,58
66,56,106,84

18,7,0,1
42,7,2,1
42,16,5,15
47,16,22,19
60,29,22,19
61,30,42,23
62,45,48,27
66,46,67,29
69,69,67,29
72,82,75,31
73,83,99,31
92,83,104,33

2,3,7,14
2,9,20,21
2,22,33,21
5,26,39,34
18,34,44,34
20,45,44,47
36,49,47,50
36,66,52,54
49,69,57,59
66,69,58,67
74,71,61,80
80,89,61,82
84,93,78,83
88,93,78,105

3,5,1,17
11,10,1,30
13,11,20,34
13,33,24,34
20,47,25,38
21,53,25,57
27,72,26,57
27,77,40,64
27,79,44,84
35,79,44,102

4,17,3,2
6,31,9,6
10,31,10,27
14,47,16,27
19,60,16,35
36,64,17,39
36,87,17,42
36,91,22,59
40,104,26,64

2,0,24,0
6,5,25,16
6,9,42,21
8,26,46,24
21,30,48,31
21,31,55,49
22,31,60,69
23,39,77,69
39,40,81,74
52,42,82,84
60,55,87,84
66,55,89,102

2,1,4,19
2,5,20,25
4,5,40,29
9,6,57,32
16,21,57,36
20,25,62,49
20,25,65,72
25,27,70,86
30,45,72,87
43,58,72,87
54,59,86,87
67,63,91,91
68,80,96,94
87,83,100,94

18,1,1,6
26,18,2,6
42,22,2,12
63,24,2,15
64,42,8,16
64,52,11,29
64,73,15,30
65,74,39,30
69,87,48,30
72,87,70,31
74,92,70,50
75,98,74,65
75,100,83,80

