max1,rand1,rand2,rand3
0,4,0,22
1,8,18,25
22,13,18,25
22,17,22,43
24,17,44,45
24,28,45,59
27,28,58,69
29,42,60,77
29,55,65,85
29,55,87,89
52,55,87,92
73,56,87,96
73,61,87,117

2,0,23,1
5,13,23,11
22,13,28,15
26,16,41,21
33,30,41,26
35,34,54,33
39,34,71,38
40,35,81,52
43,49,85,57
50,50,87,73
68,50,87,81
89,50,88,85
89,55,88,106

4,0,21,1
22,4,25,1
35,12,26,5
35,13,47,9
35,16,56,23
40,30,59,27
48,43,64,27
61,52,66,29
79,59,66,30
83,66,67,44
85,80,69,52
104,81,73,54

10,2,0,14
10,5,9,28
14,9,14,41
14,30,19,41
14,52,23,41
28,53,30,45
50,53,31,48
52,68,35,53
71,72,38,53
72,87,44,57
91,89,44,62
103,102,45,62

0,5,13,8
23,8,13,8
23,9,33,13
27,26,38,13
29,35,40,26
48,38,44,26
54,42,44,42
62,42,57,47
62,60,64,48
64,60,84,52
66,66,101,53

0,0,8,18
14,0,13,25
28,11,14,25
33,25,15,31
33,25,38,34
47,26,38,45
47,42,39,54
47,60,47,54
51,77,48,58
51,78,72,59
51,103,73,59

12,0,14,0
12,7,15,18
13,12,21,32
14,36,21,33
18,52,21,39
23,68,25,40
25,71,33,53
25,74,50,59
41,75,59,59
62,75,64,59
77,75,75,59
77,83,88,64
92,87,93,66
118,87,119,92

4,5,4,13
20,14,4,14
37,14,6,21
37,15,13,39
37,39,13,41
51,39,15,51
58,45,15,64
58,64,18,68
59,70,22,83
67,70,27,96
70,86,29,101

0,1,5,20
6,1,11,34
12,21,11,34
22,36,11,35
28,41,11,50
42,42,19,53
47,44,33,58
47,47,36,78
67,47,42,78
68,66,42,84
72,74,43,97
74,80,43,115

0,8,18,0
6,10,34,2
6,23,45,4
20,25,51,8
26,41,55,8
31,59,58,8
33,80,58,11
59,106,58,37

4,1,4,17
5,5,25,17
31,31,25,43
37,36,25,58
37,39,44,62
42,39,57,70
48,59,57,70
52,81,57,70
59,96,57,74
76,103,59,74

0,6,3,17
3,10,21,18
3,10,40,25
7,10,61,26
21,16,62,31
26,22,62,46
28,22,75,57
30,27,90,61
34,30,95,75
47,38,95,80
48,39,101,98

21,0,1,4
29,0,5,18
33,1,5,39
47,6,9,42
68,7,13,42
68,12,19,57
82,13,30,57
82,21,34,71
98,31,34,71
102,46,39,73

4,5,0,17
4,7,16,25
14,8,18,38
20,27,19,38
20,29,43,38
21,35,59,41
22,48,65,47
22,54,81,51
22,78,81,53
22,79,106,53

6,16,0,4
6,19,17,10
7,24,17,30
20,28,26,30
20,47,29,34
33,50,34,39
46,51,38,47
59,55,43,51
64,70,49,51
66,70,53,71
67,70,56,93
86,71,57,98
87,75,64,112

3,3,13,7
3,3,14,32
24,3,19,32
36,3,20,45
36,9,36,49
57,9,40,50
58,22,44,58
