paranoid1,paranoid2,rand1,rand2
0,4,17,5
0,13,18,21
0,15,26,37
5,36,26,37
11,39,30,50
12,51,43,50
14,53,57,58
36,53,57,62
38,66,58,72
39,66,61,94
39,67,61,119

8,17,0,1
8,30,5,9
8,31,21,18
8,48,29,19
14,50,34,32
15,62,34,45
15,78,43,46
15,91,50,52
15,97,69,53
22,97,69,72
26,97,73,90
31,110,81,90

19,0,1,6
19,14,11,8
40,17,13,8
40,17,28,19
44,23,31,32
59,23,38,36
63,23,41,55
80,27,46,55
82,27,70,55
102,29,72,57

0,4,4,18
22,5,6,19
28,5,22,23
28,6,28,42
28,15,45,42
42,16,51,47
46,23,64,49
63,24,68,53
74,39,68,53
74,52,74,60
80,52,94,60
106,52,120,86

23,0,0,3
26,5,0,21
26,27,0,25
31,27,1,45
38,40,6,46
39,46,11,60
52,54,15,61
57,54,36,61
57,74,41,62
65,92,41,62
80,97,41,68
81,97,48,86
87,97,53,101

0,0,9,17
21,0,10,21
34,0,15,29
39,6,16,43
44,24,19,43
48,24,35,49
48,36,36,62
63,41,38,66
63,41,51,79
83,42,56,79
83,42,59,102

4,9,0,13
11,26,1,14
22,26,14,16
27,27,31,19
28,27,50,25
28,30,67,31
34,30,71,47
49,33,73,53
50,38,93,53
51,48,95,66
56,61,95,74
71,61,102,78

6,1,6,13
10,5,20,17
10,14,37,17
20,14,38,32
44,16,38,32
57,16,42,41
58,17,61,46
62,22,62,62
67,27,78,62
78,41,79,62
83,57,80,66
106,57,80,69

9,4,13,0
21,17,13,1
21,18,24,15
21,25,24,34
21,25,29,55
21,44,35,56
22,69,35,56
26,73,40,69
31,74,45,84
31,74,64,91
44,74,68,100

4,7,0,15
4,7,4,37
4,11,25,38
23,12,25,44
27,13,45,45
48,14,46,48
51,37,46,48
69,39,47,53
73,45,63,53
91,45,64,60
94,50,64,78
109,52,73,78

2,0,24,0
6,4,39,3
12,6,41,19
12,8,41,43
25,9,47,49
45,10,48,53
63,18,48,53
63,40,48,57
69,44,48,73
85,54,48,73
90,70,48,78
90,70,53,99
101,71,66,100

0,0,15,11
0,8,29,15
10,22,30,16
10,23,46,25
12,36,46,36
12,58,50,36
19,72,55,36
23,72,63,50
26,76,63,69
28,77,86,69
35,93,89,69
35,95,109,73

24,0,1,1
24,1,1,26
24,1,25,28
24,16,34,30
39,22,35,34
39,37,42,38
43,50,42,47
43,50,58,57
44,54,75,61
44,66,75,75
50,80,81,75
54,98,85,75
57,112,85,84

2,3,16,5
22,3,17,10
26,17,23,12
30,20,23,31
50,25,23,32
51,39,23,43
52,39,41,50
67,39,52,50
67,39,71,57
75,39,72,74
78,57,77,74
80,70,81,81
100,71,86,81

5,21,0,0
18,21,6,7
32,25,9,12
36,25,12,31
50,32,17,31
50,50,25,31
53,57,39,33
58,57,56,37
58,58,77,41
61,58,77,64
78,58,77,73
82,65,79,86
90,69,79,100

1,10,2,13
9,24,2,17
13,41,7,17
16,48,23,17
16,48,32,34
31,49,33,43
51,49,38,44
69,49,46,44
73,49,46,66
81,49,51,79
85,53,54,94
85,66,54,107

1,3,4,18
2,10,18,22
6,30,18,24
6,37,33,28
11,37,50,32
11,42,67,36
19,43,67,53
22,63,67,56
22,64,71,77
24,71,72,93
40,73,79,94
41,89,83,99
