paranoid1,rand1,rand2,rand3
0,10,13,3
14,17,13,8
24,17,14,23
24,22,15,43
24,26,35,45
24,27,56,49
26,27,70,59
26,31,84,67
26,35,103,70

2,20,4,0
4,39,4,5
4,53,4,17
25,53,4,22
29,71,4,26
35,90,4,27
36,98,20,28
38,113,21,36

1,4,17,4
1,5,40,6
6,5,41,26
12,12,41,39
34,14,41,41
38,14,58,46
38,20,75,49
39,21,84,64
44,21,101,68

0,4,19,3
4,5,21,22
19,15,21,23
20,31,25,28
20,44,32,34
23,48,51,34
26,63,58,35
26,63,62,57
31,65,76,62
44,72,76,68
55,86,77,68
67,86,78,81
84,88,85,81
97,93,87,87
99,98,106,87

5,6,1,14
25,7,6,14
38,7,10,23
43,8,26,27
48,10,39,33
48,14,45,49
63,22,48,49
63,40,51,54
69,55,55,55
86,58,60,56
93,58,74,61
93,80,74,65
94,80,96,68
95,88,96,85
113,89,100,88

0,0,21,5
0,1,44,7
4,6,45,23
8,8,61,27
8,14,65,43
11,19,70,56
24,28,70,60
39,33,76,60
52,40,81,61
65,45,86,64
84,49,87,66
84,49,107,72

22,4,0,0
35,16,0,1
35,22,0,21
37,22,24,21
40,42,25,23
49,42,25,40
69,42,29,42
72,56,37,43
73,56,54,51
75,63,71,51
77,65,79,65
77,68,79,88
77,80,93,88
77,82,110,95

14,5,0,7
16,5,20,11
19,9,21,29
20,27,22,35
21,32,39,38
21,50,44,41
21,52,48,61
24,52,55,77
24,77,56,77
25,90,59,86
41,90,64,91
58,93,65,96
72,94,65,107

0,0,20,6
0,4,37,11
4,5,41,28
6,26,41,31
6,30,48,46
6,34,66,50
32,34,92,76
35,38,98,89
37,40,103,106

18,3,0,5
35,3,0,14
39,3,1,35
40,12,2,50
41,20,19,50
42,38,23,53
42,51,36,53
44,73,36,55
45,86,39,64
62,86,41,71
65,106,44,71

1,14,4,7
14,21,7,10
14,29,11,24
18,36,12,38
26,37,16,51
41,42,20,53
42,45,40,55
42,66,44,56
46,73,45,70
53,73,62,72
58,92,64,72
60,115,65,72

0,2,19,5
7,3,35,7
26,10,35,7
44,12,35,13
44,31,39,16
45,49,42,20
46,50,62,24
46,55,80,27
61,56,83,34
64,56,106,34

1,24,0,1
9,24,17,2
9,27,27,15
12,37,40,15
25,44,45,16
30,45,58,23
34,46,64,38
38,52,64,54
38,54,78,64
56,60,80,64
82,86,80,90
96,92,86,90
107,94,99,90

2,2,22,0
2,6,22,22
18,11,26,23
23,32,26,23
24,48,35,23
24,61,42,29
41,63,42,36
41,63,62,42
53,63,76,42
59,81,76,44
85,81,102,70

8,0,4,14
18,1,6,27
31,1,12,34
52,2,15,35
52,15,26,37
77,15,26,38
92,26,26,38
106,28,34,40

2,4,2,18
17,10,2,23
18,10,25,25
18,18,42,26
35,25,43,27
43,27,59,27
63,27,64,28
71,27,64,46
71,32,68,63
75,39,68,78
98,39,70,79
104,55,74,79

0,6,16,4
4,7,30,11
10,7,30,31
12,11,30,51
17,25,37,51
17,28,57,54
34,35,57,56
40,35,57,76
45,51,57,81
46,51,80,83
47,51,104,84

1,12,13,0
1,28,16,7
5,33,19,21
5,46,26,27
8,46,47,29
11,65,51,29
28,65,55,34
51,66,55,36
53,66,61,54
53,81,70,56
58,83,89,56
65,84,93,70
65,106,93,74

0,0,17,9
1,2,21,28
10,2,21,45
10,4,27,63
11,7,32,80
19,7,45,85
22,21,50,89
36,21,55,96
40,22,76,96
48,25,77,110

2,5,0,19
18,11,0,23
22,16,0,40
27,19,4,54
42,29,4,55
44,33,8,71
44,37,17,84
50,42,31,85
68,42,36,88
83,51,37,89
83,61,37,105

6,0,2,18
6,7,8,31
24,12,8,34
44,18,8,34
60,28,8,34
62,49,11,34
62,70,13,37
68,71,13,56
82,71,22,59
107,72,22,59

0,4,18,4
13,7,19,13
17,15,32,14
17,40,33,14
17,48,51,14
30,48,58,20
47,48,61,26
68,49,65,26
76,62,65,31
76,68,83,33
82,71,100,33

0,12,14,0
0,17,29,6
6,34,31,7
19,34,35,16
20,38,51,21
40,43,51,22
44,44,54,40
44,48,67,49
44,62,75,53
44,62,77,77
47,62,79,98
51,62,92,107

5,8,13,0
5,26,14,7
20,26,15,17
20,30,15,39
21,45,16,48
22,65,16,53
23,69,35,55
28,70,38,72
46,70,41,77
66,71,46,77
80,73,49,84
81,73,66,92
100,75,66,97

9,16,1,0
9,38,1,4
12,38,4,24
15,38,4,47
18,38,24,50
32,43,28,53
33,66,30,53
52,70,33,53
74,70,33,57
81,86,33,60
82,93,37,74
86,94,53,79
87,112,59,80

