max,paranoid1,paranoid2,paranoid3
0,13,0,13
13,26,0,13
30,26,8,14
50,27,9,18
67,32,10,21
74,37,10,35
79,37,17,49
81,41,21,65
98,42,25,69
100,55,34,71

4,13,4,5
4,18,11,19
4,36,11,27
8,39,17,40
21,46,20,43
24,59,26,47
30,59,28,65
31,77,31,69
32,94,33,75
36,110,35,79

18,0,4,4
37,5,4,6
51,9,12,6
68,9,17,10
72,14,34,10
76,29,36,15
77,50,40,15
82,57,53,16
90,59,69,16
92,63,89,16
98,80,92,16
116,82,95,19

6,0,7,13
6,4,28,14
7,10,42,19
20,19,42,23
36,19,43,32
40,39,45,32
40,65,71,58
45,79,74,62
45,97,82,62
45,101,98,68

11,0,13,2
14,2,34,2
15,15,46,2
33,19,46,6
33,19,69,9
37,25,84,10
51,26,91,14
58,28,108,14

5,7,13,1
6,20,16,10
13,35,20,10
33,37,24,10
35,37,28,30
35,41,50,30
42,41,56,43
46,42,59,61
46,63,59,66
50,77,64,69
71,77,64,74
76,92,70,74
101,92,70,75

1,17,4,4
10,17,8,17
24,21,10,23
24,38,19,23
43,38,26,23
47,40,26,43
67,42,26,47
71,46,26,65
89,48,26,71
89,69,26,76
98,85,27,76
101,103,28,80

13,1,5,7
21,17,5,9
21,17,17,23
24,17,21,42
27,24,35,44
31,24,36,65
35,37,40,70
38,54,45,71
51,67,45,71
67,71,47,75
70,79,60,77
76,97,61,78
82,98,65,93
83,99,74,108

4,17,1,4
12,17,18,5
15,20,22,21
16,37,22,29
16,41,25,48
20,41,38,57
23,55,42,62
41,55,48,64
41,65,50,78
41,78,63,78
45,81,78,82
45,103,79,85

5,4,15,2
5,25,20,2
7,25,24,22
7,46,25,26
12,49,26,43
12,49,44,51
34,49,45,54
34,56,61,57
43,57,61,73
60,57,70,73
73,58,71,84
77,58,76,101

1,1,14,10
17,11,14,10
18,32,14,14
22,46,18,18
25,51,19,35
30,66,19,41
34,80,21,47
53,80,25,50
56,85,38,55
56,106,41,57

4,2,7,13
8,5,23,16
8,8,46,16
10,23,51,20
23,23,64,20
27,25,81,23
28,32,99,23
28,52,99,29
46,54,102,32

25,1,0,0
30,1,13,8
34,2,34,8
48,9,34,13
48,31,34,17
48,53,38,17
50,53,42,37
60,53,55,40
60,58,71,45
62,58,90,50
83,60,91,52
97,61,91,63
100,65,96,77

3,0,6,17
4,15,12,21
4,20,31,23
20,25,35,24
27,39,40,24
33,39,41,43
54,43,42,43
73,43,45,47
78,59,50,47
97,63,53,47
97,63,58,68
117,67,58,70

18,3,0,5
24,19,1,8
38,19,1,20
41,21,5,37
44,23,12,51
50,24,17,65
52,24,41,65
55,47,41,65
55,66,47,66
59,85,50,66
59,90,52,85
63,103,52,94

0,18,1,7
0,34,3,15
5,38,7,28
5,38,28,33
24,42,30,34
24,43,49,40
30,57,50,45
34,70,54,50
48,76,56,54
56,76,60,68
76,76,62,72
81,89,66,76
87,107,68,76

4,4,15,3
4,5,37,6
5,5,45,23
5,10,65,24
28,11,65,26
32,14,84,26
52,15,89,26
52,36,94,26
66,36,94,38
66,37,119,38

1,0,0,25
20,1,0,31
44,1,0,33
47,14,2,41
51,17,15,47
51,26,16,63
64,32,18,68
70,48,18,72
71,57,20,86
75,70,24,91
75,77,25,109

8,0,18,0
14,0,38,0
16,1,38,23
33,4,39,28
38,4,43,45
42,5,47,62
58,8,54,62
58,15,54,81
74,19,57,84
78,35,57,90
83,39,70,94
99,39,80,94
110,39,81,108

3,19,0,4
26,20,2,4
26,40,3,9
40,40,7,17
45,53,14,18
51,66,15,24
54,84,15,29
64,97,16,31
69,100,29,36

10,15,0,1
10,28,7,7
10,33,25,10
32,36,25,11
32,61,26,11
35,70,26,25
35,89,27,31
43,90,44,31
43,94,48,49
45,95,56,64
58,95,59,74
60,102,74,76

15,1,6,4
19,4,23,6
20,29,23,6
38,30,24,12
42,34,39,15
46,37,52,21
62,38,59,23
64,53,62,29
85,57,63,29
85,77,69,29
104,78,71,33

0,5,16,5
15,7,16,14
33,7,24,14
33,23,32,16
36,23,51,20
36,29,51,40
36,30,55,61
38,48,57,65
41,53,57,83
54,53,70,83
56,54,88,88
56,57,93,106

1,19,6,0
2,25,24,1
4,32,41,1
22,39,41,2
24,52,42,12
24,69,43,20
34,69,59,20
49,75,60,24
75,75,86,50
77,81,100,54

0,6,13,7
2,7,35,8
8,20,42,8
8,27,42,27
22,31,50,27
35,31,63,27
48,32,65,37
48,33,76,51
56,38,76,64
56,44,96,64
60,45,113,68

