rand1,rand2,rand3,rand4
18,85,72,59
38,86,77,59
60,86,78,62
75,86,85,66
79,101,86,72

1,21,0,4
1,25,9,17
14,37,9,18
16,50,12,26
30,59,15,26
30,75,22,29
33,88,29,32
36,90,42,40
42,109,43,40

2,3,3,18
15,13,3,21
28,18,3,29
45,24,3,32
45,28,3,54
53,42,4,57
54,42,21,65
54,43,21,90
60,43,36,95
62,56,43,99
62,56,49,119

0,22,4,0
1,36,7,8
1,44,21,12
1,48,42,13
15,50,46,19
32,56,49,19
33,56,73,20
35,61,73,39
52,65,75,42
56,80,78,46
60,86,93,47
61,88,116,47

15,0,0,11
16,0,5,31
20,1,22,35
26,16,24,38
28,23,41,38
28,26,51,51
28,26,62,66
34,39,65,70
43,39,82,70
62,44,83,71
77,45,83,81
83,49,98,82
101,51,104,82

13,5,4,4
18,26,4,4
32,26,8,12
50,30,11,13
56,35,25,14
64,35,25,32
65,39,42,36
69,52,51,36
88,55,51,40
101,59,53,47

0,6,1,19
17,8,6,21
26,24,7,21
34,37,12,21
57,40,12,21
58,53,12,33
58,61,26,37
58,69,30,51
58,84,36,56
58,84,57,61
58,93,73,62
61,112,77,62

2,24,0,0
22,26,4,0
24,43,4,7
26,43,27,8
28,44,29,29
30,51,46,29
31,58,50,43
35,64,64,45
42,78,64,50
42,90,64,64
44,114,64,64

4,2,14,6
7,17,19,9
11,20,19,28
29,20,19,36
29,34,24,43
29,34,34,59
29,55,39,59
32,73,40,63
37,74,57,66
41,75,65,79
41,78,71,96
41,83,73,115

1,11,0,14
1,12,17,22
1,38,43,48
22,38,48,48
27,38,61,56
28,40,75,65
31,54,80,69
33,54,90,83
37,58,107,84

7,1,5,13
7,11,8,26
12,11,25,30
12,12,29,51
38,38,55,51
38,39,66,65
38,47,79,70
42,47,86,85
46,62,89,89
46,64,94,108

6,1,19,0
10,1,32,9
18,2,32,26
20,2,36,46
29,2,50,49
31,3,50,72
45,7,54,76
67,9,54,78
70,10,67,87
70,11,88,91
96,37,114,91

1,0,8,17
1,15,19,17
14,28,19,17
16,31,21,36
33,35,25,37
50,41,28,37
50,41,49,42
64,41,53,50
71,41,72,50
77,55,78,50
77,75,83,51
77,75,107,53

4,0,2,20
10,15,6,21
14,21,21,22
24,23,35,22
31,24,53,22
31,28,57,40
35,43,64,40
39,59,70,40
50,74,70,40
50,78,70,62
58,78,74,76
66,79,90,77
68,103,90,77

16,3,2,5
29,16,2,5
30,31,6,11
37,31,21,15
38,49,25,18
38,53,31,34
44,53,49,36
62,55,55,36
62,70,60,42
62,94,61,43
66,101,62,57

3,16,1,6
6,19,5,22
7,40,9,22
9,40,33,22
12,41,36,41
12,44,37,63
21,45,53,63
25,47,69,67
39,51,77,67
46,53,79,82
48,53,83,102

