paranoid1,paranoid2,rand1,rand2
69,22,11,54
83,22,15,62
89,22,15,82
115,22,41,108

19,0,7,0
35,0,11,6
61,26,37,6
67,43,40,6
70,61,44,7
70,74,56,8
75,90,56,13
75,91,58,36
89,95,62,40
91,95,76,50
93,103,89,53

3,13,6,4
3,15,10,24
4,19,10,45
18,19,16,51
28,19,19,64
54,45,45,64
77,46,45,66
77,64,47,72
98,64,49,75
104,78,55,75

22,0,4,0
22,4,5,21
22,5,6,45
39,5,9,51
53,9,13,55
53,32,16,55
53,39,34,56
57,40,41,70
61,61,42,70
64,80,43,73
64,80,65,77
66,80,79,87
73,85,80,100

0,3,20,3
1,19,20,12
5,32,22,19
22,38,25,19
22,39,25,44
22,60,29,45
40,60,33,49
58,65,33,52
60,69,50,55
63,70,59,68
67,75,72,72
68,82,89,73
81,95,89,73
101,99,90,74

5,0,21,0
12,17,21,2
16,33,22,7
29,34,22,19
43,41,27,19
61,42,30,23
61,46,30,45
61,64,36,47
62,80,45,47
80,86,47,47
98,90,47,51
99,110,52,51

6,0,13,7
13,13,19,7
17,18,36,7
19,18,36,31
38,19,38,35
59,19,42,36
59,22,51,50
63,22,72,51
70,22,89,53
84,22,95,59
88,28,110,60

24,0,0,2
50,0,26,28
52,4,26,48
55,7,46,48
57,7,64,54
57,18,64,69
70,19,64,81
70,23,70,97
77,38,74,97
77,44,74,117

10,1,1,14
26,2,5,19
26,2,6,44
36,3,21,44
36,3,30,61
36,23,34,63
56,29,34,63
76,29,34,69
76,30,40,88
80,48,44,88
88,65,45,88
107,65,49,91

14,4,4,4
14,5,21,12
15,6,39,18
16,26,41,21
29,30,50,21
32,30,54,40
49,31,58,44
54,32,58,64
54,45,66,69
72,45,70,73
76,63,74,73
89,71,78,74
91,80,78,89
91,87,83,103

0,4,4,18
6,10,17,19
8,11,21,38
22,11,31,40
39,11,35,45
43,15,53,45
62,15,53,52
66,28,54,60
69,28,54,83
70,52,55,83
78,66,56,86
85,79,62,86
93,79,76,90
118,79,77,90

2,16,1,7
2,21,22,7
19,26,26,7
39,26,26,13
46,26,31,27
63,34,32,27
63,35,48,36
64,48,58,38
68,61,66,39
72,62,70,56
78,76,72,60
92,76,80,64
106,80,80,72

1,0,17,8
19,1,20,12
19,5,34,20
34,5,36,29
48,11,38,33
61,11,48,36
62,18,53,49
69,18,67,54
88,19,68,59
101,19,81,59

3,19,4,0
4,25,5,18
5,42,13,18
7,66,13,18
8,83,13,26
8,102,17,29

8,0,16,2
8,0,39,5
25,7,41,5
39,8,45,12
47,26,45,12
54,29,58,15
58,42,61,21
63,42,64,39
64,42,68,60
77,48,72,63
77,50,78,81
78,50,91,93
93,54,98,93
99,67,104,94

