paranoid,max1,max2,max3
2,1,4,19
2,18,13,19
2,22,30,24
23,26,31,24
27,43,36,24
28,47,39,42
41,52,43,46
55,55,48,50
74,58,52,50
76,65,69,50
80,65,87,54
87,78,88,59
91,92,93,62
92,111,94,67

15,0,5,6
17,0,24,11
40,0,25,13
57,5,25,17
73,15,25,17
73,23,25,35
74,37,26,45
74,50,33,51
87,50,45,52
102,51,46,61

0,17,4,5
3,19,23,7
16,19,29,14
20,34,32,18
46,34,58,44
65,41,58,44
78,50,60,46
80,56,64,60
80,70,69,67
80,85,70,77
80,107,71,80

13,8,5,0
13,23,9,7
13,23,19,23
17,23,21,43
17,39,23,51
17,44,40,55
17,54,40,71
25,72,40,71
25,83,53,73
26,102,57,75

13,0,9,4
17,2,22,11
20,16,31,11
27,16,50,11
32,21,53,24
32,40,60,24
52,40,60,30
52,55,63,38
52,68,69,45
54,77,83,46
65,92,83,46
74,93,96,49
80,93,103,62

4,16,5,1
18,18,11,5
39,19,11,9
39,37,11,17
39,57,11,23
59,57,13,27
60,69,26,27
60,74,28,46
64,96,28,46
65,110,30,55

4,3,15,4
9,3,36,4
23,7,36,12
25,10,37,32
25,10,61,34
27,12,70,47
30,14,88,50
30,27,90,61
33,37,90,74
50,41,91,78
54,48,104,80

9,1,14,2
13,1,18,20
20,1,18,39
40,1,18,45
45,2,33,50
49,7,34,66
55,7,49,71
55,24,54,75
56,28,72,78
56,30,79,95
63,43,79,101

1,4,6,15
16,10,9,17
20,10,26,22
27,11,28,38
40,11,41,38
45,12,56,43
45,25,65,47
45,29,78,56
45,42,85,62
47,49,87,77
48,53,105,80

3,8,15,0
4,11,37,0
5,15,58,0
13,15,58,18
13,36,59,22
16,39,59,42
24,53,59,46
42,56,60,50
44,59,73,58
48,76,74,62
50,80,79,77
56,87,92,77
75,94,92,77
75,97,111,81

3,4,18,1
4,6,26,16
4,31,26,17
4,34,32,34
10,47,35,38
26,53,35,42
29,58,40,55
30,74,43,61
54,75,44,61
63,76,44,77
63,78,67,78
65,78,69,100

0,7,13,6
0,10,26,16
5,15,39,19
18,21,41,24
29,21,54,26
31,25,69,31
36,26,85,35
40,39,89,40
45,55,89,45
46,55,109,50

0,9,3,14
0,9,12,31
0,35,38,57
1,39,38,78
1,42,42,97
1,60,46,101

4,22,0,0
6,22,9,15
26,27,9,16
33,27,15,29
34,27,28,41
35,37,30,54
35,58,33,56
35,58,52,63
61,84,78,63
79,84,82,67
79,89,82,88
105,89,108,114

22,2,2,0
25,10,17,0
26,14,30,8
32,14,32,26
34,14,53,29
47,16,57,36
47,38,60,37
49,38,60,61
50,38,85,61
51,41,89,79
51,46,89,100

1,22,3,0
11,22,5,14
11,26,27,14
19,40,28,17
32,40,31,27
54,40,32,30
58,45,45,34
72,45,45,46
76,66,45,47
80,67,50,63
86,68,54,78
86,74,58,94
91,75,61,111

10,1,0,15
24,2,0,26
25,2,7,44
30,3,10,61
31,10,10,79
31,14,32,79
50,21,32,79
58,38,32,80
62,38,40,94
62,50,40,108

0,2,2,22
0,8,17,27
21,8,18,31
23,8,39,34
27,12,43,48
34,13,61,48
36,32,65,49
46,32,79,51
49,32,88,65
62,45,88,65
68,49,104,65

13,4,5,4
15,21,9,7
31,29,9,9
32,32,27,13
33,43,27,27
59,69,53,27
63,71,73,27
76,76,73,35
77,77,78,54
86,81,91,54
87,81,98,72
88,81,121,74

4,1,18,3
19,8,22,3
32,12,26,8
32,13,51,8
33,27,51,19
56,28,51,21
63,41,55,23
76,45,62,25
83,45,80,26
84,63,82,31
85,81,89,31
97,81,102,32

0,3,4,19
7,8,18,19
11,13,22,32
12,34,25,33
18,34,43,35
18,52,51,35
19,52,51,60
19,58,65,66
19,77,70,68
26,91,70,73
29,92,88,77
29,106,95,82

18,0,2,6
18,25,3,6
19,29,24,6
27,34,24,19
27,57,27,19
31,58,40,27
31,64,59,28
33,64,64,47
33,69,83,49
40,82,85,53
43,97,89,57
46,98,107,61

5,7,14,0
7,17,27,1
7,43,53,27
14,56,58,28
14,66,71,31
15,66,96,31
15,79,109,31

3,21,0,2
8,21,3,20
16,22,19,21
16,42,19,27
24,60,19,27
24,63,37,32
46,63,39,34
50,81,39,38
51,87,57,39
65,89,62,44
70,89,76,51
71,94,77,70
89,98,77,74
102,109,77,76

0,23,1,2
17,31,2,2
20,45,11,2
21,70,11,2
26,70,11,23
29,70,12,45
29,70,30,53
33,71,34,70
52,71,34,77
52,91,37,80
65,96,41,84
65,100,54,93

