max1,rand1,rand2,rand3
14,30,7,1
14,43,20,1
18,47,35,4
18,72,35,5
24,78,35,19
24,89,50,19
24,94,65,25
24,103,78,29

9,16,1,0
9,16,13,14
12,21,13,32
18,35,13,38
31,42,19,38
32,49,37,38
32,49,55,46
38,68,55,47
38,87,62,47
51,89,68,52
53,97,83,53
55,98,92,67
55,122,93,68

5,20,1,0
5,22,18,7
5,44,20,9
6,59,26,13
8,64,39,19
26,65,41,24
30,78,41,33
35,93,41,39
35,96,61,42
35,99,78,48
40,99,78,69
47,112,79,74

0,8,1,17
0,26,1,25
4,41,1,32
21,41,1,41
26,45,14,45
26,57,15,58
30,73,21,58
32,73,42,61
47,79,43,65
47,102,43,68

2,16,4,4
7,16,10,19
13,36,10,19
24,36,10,34
42,40,10,38
42,52,24,38
67,52,24,39
67,53,31,57
71,54,38,71
74,60,55,71
83,77,55,71
87,77,73,75
87,90,73,88
91,98,87,88
110,98,90,92

1,16,0,9
4,22,17,9
4,26,21,27
17,37,21,29
18,43,22,47
18,47,27,64
25,47,45,65
38,56,45,69
38,69,56,71
38,86,61,75
38,87,81,80
43,106,82,81

9,14,3,0
11,17,24,0
11,21,29,17
11,40,29,24
29,40,34,27
35,40,54,27
40,46,69,27
46,49,86,27
46,63,94,31
46,63,97,54
46,86,100,54

14,7,1,4
14,7,19,12
15,7,32,24
22,10,45,27
48,10,71,53
54,10,76,68
68,10,84,72
87,14,84,75
88,22,84,92
96,35,88,93
117,35,93,93

16,4,0,6
16,4,9,23
30,4,13,31
30,11,26,37
32,12,35,51
32,19,35,70
50,27,35,70
53,32,38,85
57,45,38,94
60,46,42,112

20,2,0,4
24,6,0,22
24,15,14,25
24,15,20,45
42,16,24,48
46,17,40,53
60,18,40,64
64,23,44,77
67,31,58,78
74,32,58,96
80,36,74,96
80,50,79,103

14,0,10,2
28,3,11,10
28,10,15,25
41,16,22,25
44,34,26,26
44,35,45,32
49,36,64,33
49,36,89,34
49,37,114,34

1,5,19,1
5,10,23,14
24,11,29,14
26,16,47,15
26,30,59,15
35,30,76,15
39,30,97,16
43,43,104,18

14,1,5,6
16,4,13,19
21,24,13,20
23,27,33,21
27,41,41,21
42,42,45,27
57,43,53,29
58,63,54,33
59,82,60,33
60,82,85,33
64,83,100,39

16,8,0,2
29,11,10,2
33,24,13,8
48,24,13,19
70,27,13,20
77,30,28,21
99,34,28,21
100,59,28,21

0,4,0,22
4,5,20,23
12,19,20,27
12,39,25,28
18,52,25,35
31,52,25,48
31,56,33,62
33,74,35,66
40,75,40,79
53,75,53,79
57,75,62,92
58,83,79,92
62,88,93,95
76,89,104,95

16,0,10,0
19,5,14,14
19,9,36,14
23,13,36,32
28,30,40,32
47,32,40,37
62,33,46,41
80,34,49,45
93,39,49,53
118,39,49,54

