max1,max2,max3,max4
0,19,6,1
0,23,26,3
0,23,49,6
24,24,49,7
43,25,50,12
48,33,50,25
61,42,51,28
64,42,55,47
65,59,59,51
80,61,67,52
80,75,71,60
80,92,74,66
83,100,89,66

16,5,1,4
16,13,1,22
23,27,6,22
29,29,6,40
30,53,6,41
34,57,9,56
36,62,25,59
56,62,25,65
75,62,31,66
75,83,35,67
88,87,44,67
107,89,48,68

2,0,11,13
6,4,28,14
7,29,28,14
13,32,31,28
26,36,36,32
26,36,50,44
36,49,50,47
56,50,54,48
73,50,58,53
94,52,61,53
94,70,66,56
108,79,69,56

2,6,4,14
5,11,4,32
19,16,8,35
26,20,10,48
34,23,24,49
59,24,24,49
77,25,25,55
82,25,46,55
86,29,60,59
90,30,76,64
95,47,76,68
99,53,92,68
99,73,93,73
116,73,102,73

14,0,7,5
32,5,7,8
49,9,11,9
51,9,26,18
55,16,41,18
73,20,42,21
89,24,48,21
89,46,48,25
89,54,62,29
99,55,75,31
112,56,75,43

0,15,11,0
3,29,15,5
12,33,28,5
29,38,32,5
49,39,34,8
51,59,35,11
57,64,37,24
57,66,43,42
62,66,59,47
65,67,76,52
72,71,76,67
72,73,89,78
73,93,89,83
91,98,92,83
91,99,96,104

15,1,9,1
20,1,9,22
27,6,9,36
27,22,17,38
29,22,40,39
30,40,41,45
30,42,42,68
34,49,55,70
36,54,61,83
39,59,65,97
54,68,66,98
54,72,88,98
67,81,88,102

21,3,2,0
25,7,20,0
28,27,23,0
31,49,24,0
31,53,45,1
35,56,64,1
39,64,64,15
39,64,73,32
39,72,77,46
43,72,97,48
44,82,99,61
46,83,117,66

4,19,0,3
9,32,8,3
13,32,13,20
16,32,33,23
32,37,34,27
34,39,52,31
36,41,70,35
36,44,80,48
57,49,80,48
57,51,97,55
60,54,102,70

17,2,3,4
32,2,4,14
36,4,18,20
51,8,19,26
64,8,23,35
65,10,24,57
65,33,27,57
66,40,31,71
79,53,31,71
85,60,44,71
87,77,51,71
92,81,51,88
97,83,64,94
97,92,81,94
102,106,85,97

5,21,0,0
10,38,2,2
17,43,16,2
27,58,16,3
36,58,33,3
36,67,33,20
36,69,37,40
36,77,37,58
37,77,38,82
38,84,52,86
51,89,53,93
53,90,62,107

0,4,22,0
4,10,23,15
23,10,25,20
41,14,27,22
46,21,41,22
51,36,47,22
59,37,49,37
75,44,49,40
75,44,55,60
75,52,69,64
75,58,84,69
79,72,87,74
80,88,91,79
90,102,92,80

5,2,19,0
5,18,19,10
12,34,19,13
15,34,39,16
21,41,52,16
21,58,53,24
25,80,53,24
42,80,59,27
45,86,76,27
45,99,76,40
45,112,87,42

2,4,18,2
2,12,19,19
6,13,23,36
6,22,36,40
13,39,37,41
19,43,53,41
20,52,68,42
24,54,69,61
30,70,69,65
33,83,77,67
39,98,82,67
57,100,84,71

5,16,5,0
22,19,5,6
27,19,8,24
45,19,12,28
51,33,18,28
51,52,22,31
58,52,41,31
58,53,45,52
58,55,59,62
67,71,60,62
71,75,74,66
89,77,78,68
89,84,96,69
89,84,115,76

5,0,15,6
10,7,15,20
34,7,16,21
35,28,16,25
37,48,16,29
54,50,17,35
71,56,19,36
75,74,21,38
88,76,28,42
103,81,29,47

0,8,4,14
6,8,4,34
19,8,12,39
35,16,14,39
53,19,19,39
54,22,23,57
57,22,46,57
57,22,59,70
60,22,82,70
76,29,83,72
76,43,91,76
78,48,104,82

14,1,6,5
15,12,7,18
21,12,7,38
22,12,15,55
24,33,18,55
38,43,18,57
54,47,19,62
55,53,37,63
56,55,43,80
59,64,43,94
67,65,58,96
81,66,61,104

1,2,9,14
9,2,10,31
9,5,28,36
9,10,28,57
