max1,max2,max3,max4
10,31,36,27
25,37,40,28
26,60,40,30
28,64,55,35
32,64,73,39
32,64,80,58
32,85,84,59
54,86,87,59
60,86,88,78
66,99,93,80
66,116,102,80

3,5,0,18
18,5,7,22
20,25,11,22
38,26,11,29
57,28,12,33
57,34,28,37
63,34,48,37
80,40,49,39
100,40,49,45

2,15,9,0
20,22,10,0
20,47,11,0
33,60,11,0
49,62,14,5
69,62,14,11
76,75,20,11
78,92,21,17
86,96,34,18
89,119,34,18

13,5,3,5
13,18,6,15
13,34,11,20
20,52,12,20
21,56,32,21
41,56,33,26
58,56,36,32
60,59,57,32
66,75,59,34
69,84,59,48
83,84,66,53
98,94,67,53
98,94,74,72
124,120,100,72

13,2,3,8
13,13,17,9
20,16,33,9
20,20,38,26
38,20,39,33
38,40,45,33
39,42,46,55
52,43,51,62
66,43,56,69
80,43,61,76
98,43,65,80
103,43,69,97

6,13,0,7
32,39,26,7
47,47,26,10
47,53,31,25
54,54,47,27
70,55,56,27
75,59,73,27
75,60,93,32
91,64,95,36
92,69,108,43

1,17,6,2
1,18,6,27
7,18,6,47
9,42,6,47
15,42,9,64
18,42,32,64
18,49,51,64
22,51,58,77
27,51,60,96
46,56,62,96
63,57,67,99
66,59,88,99
66,64,91,117

0,11,13,2
6,25,14,7
23,26,14,15
24,50,14,16
29,54,16,31
44,55,16,41
48,69,24,41
72,69,26,41
86,71,35,42
100,79,39,42

10,16,0,0
31,19,0,2
52,19,3,4
78,45,29,4
96,45,29,12
115,46,31,16

3,0,19,4
8,5,32,7
12,14,32,20
27,23,33,21
28,30,51,21
28,34,51,43
47,37,52,46
47,41,56,64
49,51,70,64
49,59,86,66
53,72,93,68
66,72,98,76
66,87,105,80

0,14,0,12
5,20,14,13
5,24,27,22
5,41,27,31
5,41,49,35
28,41,52,35
32,56,52,42
32,60,56,60
34,79,61,60
48,79,65,68
49,79,85,73
56,79,98,79
57,79,122,80

1,3,18,4
1,5,36,10
7,5,52,14
7,22,57,18
7,23,72,28
8,23,84,41
12,40,85,45
16,54,86,52
16,74,86,58
17,78,94,71
21,92,98,75
23,100,113,76

1,13,4,8
18,18,7,9
18,40,11,9
29,55,11,9
42,56,14,18
45,69,17,25
58,70,17,37
65,83,23,37
67,83,23,61
74,99,23,64
74,103,41,68

7,6,0,13
9,6,19,18
28,7,21,22
36,24,21,23
39,24,25,42
56,24,26,50
74,25,28,55
80,44,28,56
81,59,34,60
82,59,34,85
89,59,34,104

0,3,17,6
3,6,17,26
4,15,33,26
5,15,34,50
12,17,34,67
15,20,53,68
33,22,54,73
34,35,54,85
37,43,54,100

23,0,3,0
25,4,3,20
38,17,3,20
40,34,3,27
48,48,3,31
71,50,3,32
85,57,4,36
93,57,19,39
98,57,25,54
107,70,25,58

