paranoid,max1,max2,max3
0,15,0,11
9,30,2,11
13,30,4,31
13,43,4,44
27,46,8,49
49,46,8,53
70,51,8,53
72,52,15,69
90,55,20,69
92,71,23,74
93,71,45,77
97,74,63,78
97,82,64,95
115,87,64,98

1,1,1,23
4,14,2,32
11,33,2,32
28,35,9,32
41,35,18,36
41,43,18,54
45,62,21,54
46,87,21,54
47,104,23,60

13,2,3,8
16,9,3,24
18,9,26,25
18,9,51,26
22,9,54,45
25,9,73,49
38,15,78,51
43,22,79,64
48,25,79,82
48,43,86,83
48,60,95,83
51,68,108,85

3,0,6,17
7,4,24,17
7,8,39,24
7,9,50,38
21,13,57,39
26,17,57,56
32,18,62,70
32,28,65,83
33,28,70,103

14,9,0,3
15,25,2,10
15,46,7,10
16,52,20,16
36,55,22,17
36,62,38,20
50,66,46,20
50,80,51,27
50,86,71,27
52,102,72,34

8,0,1,17
29,1,5,17
44,6,5,23
51,11,5,37
51,12,7,60
52,16,20,68
66,23,20,73
66,43,21,78
74,45,21,94
78,65,23,94
78,65,45,98
95,69,45,103

10,1,0,15
17,16,0,19
24,22,0,32
50,48,26,32
52,52,44,34
60,55,57,36
64,71,63,36
65,80,79,36
82,84,80,40
82,101,83,46

14,0,8,4
15,0,30,7
20,1,33,24
20,6,49,29
32,6,49,43
35,20,49,52
36,23,64,59
52,29,64,63
52,43,68,71
52,53,83,72
52,74,83,77
56,91,87,78
73,91,91,83
87,98,95,84
93,98,113,86

1,15,0,10
3,33,5,11
21,33,12,12
37,33,17,17
44,39,30,17
46,40,48,22
62,49,49,22
62,75,75,48
86,77,75,48
92,95,77,48
92,102,81,63

17,0,9,0
35,7,10,0
43,8,11,16
43,16,26,19
44,33,33,20
48,47,38,23
52,47,55,28
53,49,55,51
53,51,71,59
67,51,79,63
83,56,84,63
89,74,86,63
89,83,103,63

0,7,14,5
3,24,20,5
10,24,20,24
23,26,31,24
36,32,31,31
39,46,33,38
40,51,35,56
42,68,42,56
43,90,43,58
43,108,46,63

17,0,1,8
21,3,20,8
22,24,22,10
27,37,22,18
41,45,26,18
41,45,48,22
47,46,66,23
48,51,66,43
50,51,70,63
50,55,73,82
52,59,87,88
69,65,87,91
76,66,101,95

5,17,4,0
5,38,8,1
31,64,8,27
44,64,8,40
48,70,23,41
52,90,23,43
72,90,23,49
88,93,30,49
99,107,31,49

0,22,2,2
0,35,6,11
5,48,14,11
24,51,18,11
24,65,24,17
29,85,24,18
30,98,32,22
30,109,33,36

2,17,3,4
15,22,4,11
34,22,5,17
50,28,9,17
70,28,14,18
71,41,19,25
71,57,29,25
75,59,35,39
91,59,36,48
93,72,46,49
97,73,67,49
103,92,68,49

0,20,5,1
0,20,25,7
16,23,29,10
16,39,35,14
33,44,35,18
38,44,35,39
44,48,51,39
66,48,53,41
72,50,71,41
77,66,72,45
90,71,72,53
90,96,73,53
113,96,76,53

13,10,3,0
22,23,7,0
22,39,15,2
28,39,15,22
37,39,30,24
38,41,53,24
38,46,53,45
43,48,68,49
47,48,69,70
50,49,69,92
69,51,72,94
70,63,85,94
73,66,105,94

2,5,17,2
3,9,19,21
16,17,19,26
16,22,39,27
17,22,55,36
21,28,71,36
21,37,88,36
36,43,90,39
38,52,90,54
42,73,90,55
47,73,107,59

13,9,0,4
31,9,8,4
31,15,27,5
31,29,35,9
49,29,39,13
64,33,42,17
64,50,46,22
71,55,60,22
84,55,73,22
87,76,75,22
88,81,79,38
91,96,79,46
91,109,83,55

14,12,0,0
18,14,0,20
18,14,25,21
28,17,38,21
28,18,52,32
37,32,53,34
39,51,58,34
39,68,58,43
58,69,61,46
71,69,62,58
72,70,81,63
72,91,83,66
74,97,101,66

21,5,0,0
25,5,7,15
27,9,20,22
28,29,25,22
28,42,32,28
31,48,45,32
39,49,45,49
53,58,48,49
63,59,63,49
69,78,64,49
75,78,68,65
92,79,72,69
92,85,88,73
96,106,89,73

6,0,16,4
12,0,30,10
12,0,37,29
19,17,37,31
19,36,44,31
20,43,49,44
22,61,51,48
24,61,74,49
40,62,74,58
40,71,91,58
40,71,106,69

16,8,2,0
24,8,2,18
24,12,22,20
28,13,38,25
32,15,54,29
40,15,72,29
46,17,76,43
51,31,82,44
74,33,83,44
77,39,100,44

6,17,1,2
15,17,4,16
15,20,24,19
15,24,24,41
17,27,24,62
31,32,31,62
31,54,35,62
46,54,38,70
61,58,45,70
68,73,46,73
76,78,46,86
89,80,54,89
91,80,78,89
92,98,78,96
93,103,92,102

0,0,5,21
3,9,5,35
3,25,6,44
24,29,6,45
42,34,6,48
45,35,20,56
61,35,22,64
64,36,41,67
72,37,42,83
72,45,43,100

