max,paranoid1,paranoid2,paranoid3
1,7,5,13
27,7,31,39
28,30,33,39
45,31,41,39
46,37,44,55
46,45,45,72
51,48,50,85
69,49,54,88
73,54,67,92
77,54,76,105

5,13,7,1
20,13,14,5
24,21,28,5
30,21,42,11
30,27,42,31
45,31,49,31
66,32,49,35
66,32,53,57
70,49,57,58
79,65,57,59
83,73,57,73
84,73,75,80
90,87,77,84
100,101,79,84

6,3,0,17
11,4,0,37
29,11,0,38
29,11,21,43
37,29,21,43
50,40,23,43
50,47,36,49
58,60,40,50
71,63,50,50
76,63,67,54
76,65,82,63
76,69,97,70
80,73,97,88
80,83,110,91

10,1,1,14
29,5,1,17
49,11,1,17
52,12,10,30
66,12,17,35
79,15,17,45
97,20,17,48
101,21,34,52

4,0,19,3
10,19,19,4
13,20,20,25
39,46,46,25
43,60,51,28
65,61,53,29
82,61,61,30
100,63,61,36

13,4,3,6
13,26,5,8
18,39,6,15
41,42,6,15
43,47,12,28
43,49,36,28
43,50,43,46
44,57,44,63
57,57,57,63
60,57,80,63
65,57,97,67
69,75,97,71
71,89,103,75

0,0,18,8
0,3,33,16
5,18,33,22
13,18,51,22
19,38,51,22
24,38,51,43
24,55,52,51
46,55,55,52
68,55,59,52
90,59,59,52
90,60,84,52
103,60,90,59

16,1,1,8
18,4,21,9
27,4,38,9
27,13,42,22
31,14,59,26
32,20,63,41
33,24,80,45
34,24,98,52
38,42,98,56
56,48,99,57
59,61,104,62

0,0,11,15
4,20,11,17
5,33,18,22
8,41,19,36
13,61,20,36
13,64,39,40
17,65,56,44
21,65,56,66
23,65,56,90
28,70,56,106

14,8,4,0
30,14,8,0
30,19,25,4
38,19,43,4
40,28,58,4
49,31,58,18
71,31,62,18
74,31,81,22
94,32,81,27
95,52,83,30
108,54,93,31

1,1,21,3
5,16,21,10
5,16,26,31
5,20,40,39
10,21,47,52
10,21,66,59
10,21,68,83
26,21,75,86
33,21,89,91
53,21,95,91
53,34,95,104

0,2,18,6
1,18,22,11
6,18,38,16
20,18,45,21
39,21,46,24
42,26,51,37
43,28,73,38
64,29,75,40
69,31,88,46
70,45,95,50
72,48,115,51

13,11,1,1
19,26,1,6
32,34,5,7
40,49,8,7
54,51,15,10
54,57,35,10
72,57,43,10
81,61,43,23
88,62,43,41
102,62,48,48

1,17,4,4
10,34,4,4
12,39,4,23
19,42,20,23
22,48,33,27
28,48,53,27
48,52,53,29
52,71,53,32
57,71,68,38
58,78,82,42
58,97,87,44
64,97,87,64
64,104,104,66

6,1,18,1
6,27,44,27
10,32,57,31
17,32,60,47
34,38,62,48
52,38,66,52
66,40,68,60
79,40,68,73
80,58,73,75
94,61,78,79
95,80,83,80
109,88,87,80

21,1,1,3
34,9,1,8
34,14,7,23
34,17,26,27
48,18,31,33
64,21,35,36
78,23,45,36
78,44,46,40
85,44,63,42
104,48,63,45

2,0,6,18
3,6,23,20
21,11,25,21
21,15,25,43
27,31,25,47
38,45,25,48
43,66,25,48
46,79,30,53
60,79,39,56
63,82,46,69
64,88,62,72
68,90,69,85
70,97,86,85
72,98,90,104

0,26,26,26
5,26,43,30
9,34,56,31
10,40,69,37
10,59,69,44
19,76,69,44
23,76,69,66
23,93,74,70
23,97,82,84
40,98,90,84
44,111,90,93

0,0,10,16
17,1,14,20
17,4,15,42
20,8,21,55
24,9,36,61
28,29,37,62
31,30,41,80
38,45,45,80
45,51,58,80
45,71,63,81
45,84,63,94
45,86,66,115

1,8,17,0
1,15,18,18
7,19,19,33
8,25,23,48
13,31,37,49
13,35,54,54
15,52,59,56
28,55,59,66
28,78,60,68
29,85,78,68
33,86,99,68
40,90,100,82

17,9,0,0
18,9,17,8
23,24,23,8
26,24,46,8
46,26,46,12
59,32,51,14
67,46,51,18
67,67,56,18
68,73,75,18
93,74,75,18
114,74,77,21

14,6,4,2
14,7,9,22
21,8,9,40
37,8,19,40
41,15,34,40
47,16,39,54
55,33,39,55
72,40,39,57
72,60,43,59
76,81,44,59
82,94,49,61
86,95,70,61
89,101,83,65

22,2,1,1
41,2,5,4
55,2,13,8
59,24,13,8
59,25,31,15
60,40,40,16
65,43,57,17
67,49,74,18
67,51,98,18
85,52,101,22

4,0,7,15
8,8,21,15
8,23,26,21
19,24,26,35
22,30,26,52
23,54,26,53
28,57,28,69
39,58,28,83
46,59,30,99
51,64,43,102

2,1,16,7
2,8,29,13
21,12,30,15
22,12,55,15
23,16,70,21
36,16,74,30
45,16,78,43
45,21,82,60
45,40,84,65
49,40,84,87
64,47,85,90
66,58,98,90
76,60,112,90

