paranoid1,max1,paranoid2,max2
8.29699993134,3.70300006866,9.65699982643,4.51600003242
9.31299996376,5.54799985886,10.5469999313,4.2349998951
8.57899999619,3.625,6.7349998951,3.90600013733
7.40700006485,4.82899999619,7.51699995995,3.60900020599
6.56299996376,3.39100003242,5.96899986267,2.95300006866
3.85899996758,2.56299996376,4.60899996758,2.50100016594
2.875,2.18099999428,3.46900010109,2.31299996376
2.29700016975,2.18799996376,2.0,2.46900010109
1.38999986649,1.73500013351,1.75099992752,1.78200006485
1.34400010109,1.67200016975,1.78200006485,1.625
0.0620000362396,0.110000133514,0.468999862671,1.73399996758
0.0,0.0,0.0,0.0309998989105
0.0,0.0,0.0,0.0
11.7039999962,3.40600013733,12.8660001755,4.67199993134
9.75100016594,3.32799983025,10.0639998913,3.82800006866
10.3129999638,2.48399996758,8.51699995995,3.57800006866
7.1099998951,5.03099989891,7.90699982643,3.67200016975
5.7349998951,4.53100013733,6.00099992752,3.23399996758
3.9849998951,2.60899996758,4.42199993134,2.39100003242
3.25,2.21900010109,3.51600003242,2.39100003242
1.79700016975,1.85899996758,2.67200016975,2.09399986267
1.34400010109,1.625,1.59400010109,1.76600003242
2.26599979401,1.78099989891,1.48399996758,1.59400010109
0.422000169754,1.96900010109,0.0309998989105,0.0939998626709
0.0,0.047000169754,0.0,0.0
0.0,0.0,0.0,0.0
8.63800001144,2.57899999619,7.92199993134,3.39100003242
7.81299996376,4.25100016594,10.9389998913,3.28100013733
7.53200006485,3.56200003624,8.65700006485,5.29699993134
6.14100003242,3.39100003242,7.39100003242,3.45399999619
6.31299996376,3.25099992752,6.31299996376,2.34399986267
4.54800009727,2.25,3.7349998951,3.67300009727
3.12599992752,2.29699993134,3.68800020218,3.35900020599
2.28200006485,2.15599989891,1.93700003624,1.87599992752
2.29700016975,2.93700003624,1.68799996376,1.7349998951
2.64100003242,1.71900010109,1.57800006866,1.71899986267
0.311999797821,1.43800020218,0.0620000362396,0.108999967575
0.0,0.0,0.0,0.0160000324249
0.0,0.0,0.0,0.0
9.29799985886,4.18700003624,7.72000002861,6.10199999809
9.23600006104,5.82800006866,9.92300009727,4.20399999619
7.95399999619,5.46899986267,7.59399986267,3.875
8.06300020218,3.17199993134,7.04699993134,2.76600003242
5.75,2.95399999619,6.20399999619,4.32899999619
3.95300006866,3.57799983025,4.76599979401,2.67200016975
3.54699993134,2.20300006866,2.98500013351,3.39100003242
2.06200003624,1.8599998951,2.21899986267,2.07899999619
2.125,1.79699993134,1.68799996376,1.59400010109
2.35899996758,2.125,1.93800020218,1.64100003242
0.0940001010895,0.0939998626709,0.280999898911,1.95399999619
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
9.03200006485,6.20399999619,9.56299996376,4.45300006866
11.8759999275,4.54799985886,8.92300009727,3.65700006485
7.14100003242,5.57700014114,8.21899986267,4.21900010109
8.29800009727,3.67199993134,7.68800020218,3.45299983025
6.75100016594,2.89099979401,6.125,2.64100003242
4.1099998951,2.64100003242,3.78200006485,3.38999986649
3.48399996758,2.15700006485,5.29699993134,3.06200003624
2.45299983025,1.95399999619,4.56199979782,1.78100013733
2.07800006866,1.64100003242,2.21899986267,1.79699993134
2.37599992752,2.15599989891,2.70300006866,1.63999986649
0.0309998989105,0.0940001010895,0.281000137329,1.95299983025
0.0160000324249,0.0,0.0,0.0
0.0,0.0,0.0,0.0
11.2820000648,5.375,11.1419999599,4.34400010109
10.6570000648,4.1099998951,9.375,3.90700006485
8.90699982643,3.67200016975,8.78200006485,3.73399996758
7.59400010109,3.64100003242,7.48500013351,2.50099992752
5.75,4.67300009727,6.40600013733,3.28199982643
3.54799985886,3.68799996376,4.59400010109,2.32899999619
2.89100003242,3.21900010109,3.1400001049,2.18799996376
3.14100003242,2.06299996376,1.93799996376,1.81200003624
1.48500013351,1.82800006866,2.03099989891,1.6099998951
1.31299996376,1.65699982643,2.07799983025,2.10900020599
0.125,0.218999862671,0.0,1.84399986267
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
7.81299996376,6.28200006485,11.6879999638,3.61000013351
8.50099992752,3.81200003624,7.65700006485,3.34400010109
6.87600016594,5.57899999619,7.45300006866,4.28200006485
6.46900010109,3.43799996376,7.0,4.93799996376
6.31299996376,2.625,6.76699995995,3.43700003624
3.90699982643,3.82800006866,4.04700016975,2.2349998951
2.6400001049,2.46899986267,2.98399996758,1.93799996376
1.84400010109,3.06299996376,2.28100013733,1.85899996758
1.29699993134,2.54700016975,1.56200003624,1.70399999619
2.25,2.12599992752,1.46900010109,1.64100003242
0.375,0.25,0.0,1.71900010109
0.0,0.0,0.0,0.0160000324249
0.0,0.0,0.0,0.0
10.4380002022,3.67199993134,8.47000002861,6.06299996376
11.8910000324,3.53200006485,6.76600003242,3.92200016975
9.34500002861,3.75,8.39200019836,5.39100003242
7.25,4.96899986267,7.875,3.54700016975
5.92299985886,4.48500013351,6.43799996376,3.29699993134
3.90700006485,2.5,4.53100013733,2.50099992752
3.28199982643,2.15600013733,3.51600003242,2.20299983025
1.85899996758,1.89100003242,2.59400010109,2.125
1.62599992752,1.71800017357,1.78099989891,1.78200006485
1.56200003624,1.57800006866,1.8599998951,1.75
0.906000137329,1.84400010109,0.0620000362396,0.0309998989105
0.0,0.0,0.0,0.047000169754
0.0,0.0,0.0,0.0
7.26600003242,6.20300006866,10.1570000648,4.57899999619
9.20399999619,3.20299983025,8.34500002861,4.39100003242
7.56299996376,3.92199993134,8.64199995995,4.31200003624
6.78200006485,3.70300006866,7.28200006485,3.5
6.17199993134,3.03100013733,6.51600003242,3.34399986267
5.64100003242,2.48500013351,3.92199993134,2.35899996758
4.03199982643,1.93799996376,3.4849998951,2.25
3.31299996376,1.84400010109,2.10900020599,2.89100003242
1.5,1.71900010109,1.98399996758,1.71900010109
1.31200003624,1.79699993134,2.21900010109,1.73500013351
0.0160000324249,1.92199993134,0.297000169754,0.390999794006
0.0,0.0309998989105,0.0160000324249,0.0
0.0,0.0,0.0,0.0
11.4230000973,6.01600003242,12.1099998951,4.125
8.28099989891,4.57899999619,9.95399999619,3.40600013733
8.61000013351,4.375,8.7349998951,3.46900010109
7.93799996376,3.59400010109,7.53199982643,3.23400020599
7.18799996376,3.21900010109,5.53200006485,4.42300009727
4.59399986267,2.56200003624,4.48500013351,2.29699993134
3.6099998951,2.32800006866,2.78200006485,2.06200003624
2.57899999619,2.03099989891,2.29800009727,1.82799983025
1.59399986267,1.7650001049,1.43700003624,1.60899996758
1.71799993515,1.56299996376,1.96799993515,1.68799996376
0.109999895096,0.828000068665,0.0,1.7650001049
0.0,0.0160000324249,0.0,0.0
0.0,0.0,0.0,0.0
8.65700006485,4.26599979401,10.1570000648,3.125
7.12599992752,5.95300006866,10.0010001659,4.2349998951
6.8599998951,2.375,8.48500013351,3.9849998951
7.75100016594,3.78200006485,7.53200006485,2.81200003624
6.90700006485,3.34399986267,6.25099992752,4.40600013733
5.56299996376,2.65699982643,4.03099989891,2.18799996376
3.32899999619,2.29699993134,3.67200016975,3.21899986267
2.29699993134,1.71900010109,1.875,2.96900010109
1.15599989891,2.90700006485,1.5,1.67199993134
2.0,2.48399996758,1.56299996376,1.625
0.0309998989105,1.93700003624,0.281000137329,0.780999898911
0.0,0.0310001373291,0.0,0.0
0.0,0.0,0.0,0.0
11.4390001297,5.21899986267,8.875,4.31300020218
8.4390001297,4.32799983025,10.9700000286,4.25
8.75099992752,4.125,8.51600003242,3.98399996758
7.34400010109,2.79699993134,7.1099998951,3.375
