paranoid1,paranoid2,paranoid3,paranoid4
16,5,4,1
29,17,5,1
33,39,5,1
37,39,22,6
41,54,24,11
45,58,24,29
49,63,26,44
58,77,27,46
61,79,27,67
76,83,28,73
77,86,45,78
92,86,54,80
94,86,74,84
99,90,74,101

3,1,18,4
7,19,18,8
20,21,27,10
20,24,27,33
21,34,27,48
44,36,28,48
49,50,29,54
50,68,36,54
50,75,41,68
54,94,42,70
54,114,42,76

13,3,1,9
13,4,1,34
28,7,5,38
31,20,11,42
32,37,16,45
32,40,30,54
32,45,47,58
33,46,58,71
36,67,58,73
36,87,62,75
52,91,66,77
52,107,71,82

4,0,4,18
12,0,17,23
13,8,34,23
33,12,34,25
34,33,37,26
41,33,56,26
42,41,60,39
59,41,67,41
76,42,71,45
80,48,86,46
86,48,103,49

2,15,5,4
11,15,9,17
11,21,14,32
14,40,18,32
14,53,28,35
19,54,34,49
33,58,39,52
34,63,52,59
49,64,62,59
51,69,79,61
51,71,84,80
51,79,88,94
72,80,90,96
78,83,90,113

0,14,12,0
0,18,31,3
1,23,50,4
1,23,62,18
6,23,62,39
7,37,68,44
13,50,71,48
13,50,92,53
19,63,96,56
22,69,100,69

14,1,0,11
15,18,0,19
36,20,0,22
56,20,4,24
57,42,7,24
58,42,7,49
58,62,11,51
59,62,35,52
59,67,56,52
74,75,59,52
79,95,59,53
103,95,61,53

1,19,6,0
9,33,6,4
26,36,8,8
27,36,8,33
27,36,13,54
36,40,13,67
37,41,35,69
37,48,54,69
41,53,68,72
41,59,84,76
47,77,86,76
51,99,86,76
55,114,93,76

4,4,14,4
5,5,18,24
16,19,18,25
16,38,25,25
17,41,25,47
18,41,49,48
23,41,50,68
23,51,50,84
40,53,53,88
41,58,66,95
54,66,71,95
54,84,79,95
67,91,81,99
79,92,81,112

5,16,2,3
9,19,19,5
10,38,22,8
15,38,24,27
18,40,31,41
34,43,33,46
44,57,34,47
59,57,37,55
85,57,63,81
89,61,80,82
90,68,84,96
114,69,84,97

5,3,0,18
20,4,10,18
42,4,14,18
42,6,24,32
42,15,24,49
43,35,28,50
51,36,41,54
53,46,41,68
69,52,45,68
74,70,48,68
80,72,53,81
81,81,53,97
81,81,78,98
84,81,78,121

8,2,1,15
13,6,17,16
17,11,33,17
23,14,49,18
23,28,54,25
27,32,54,43
34,36,69,43
48,43,74,43
48,57,84,45
54,61,97,48
71,61,101,53

0,18,7,1
15,18,14,5
15,23,35,5
28,31,35,10
29,56,35,10
33,56,44,23
33,71,44,34
40,72,57,39
53,75,63,43
57,78,63,62
78,79,64,65
87,83,77,65
106,89,78,65

3,18,4,1
16,31,4,1
29,39,9,1
31,53,16,4
50,57,16,7
52,63,18,23
52,63,31,36
53,64,31,60
62,64,32,76
62,72,50,76
62,80,51,93
62,84,56,110

5,0,8,13
5,21,13,13
19,26,13,20
19,33,28,24
22,36,45,27
35,42,48,31
35,44,61,42
49,51,64,44
52,67,71,44
57,84,71,48
62,104,71,49

0,1,1,24
2,1,3,46
2,1,27,48
4,2,42,56
16,16,42,56
36,17,47,56
36,25,47,74
40,39,55,74
41,64,55,74
57,65,64,74
58,71,82,75
59,82,96,75
80,82,101,75

1,13,12,0
22,14,12,4
29,17,15,17
32,18,24,30
33,38,28,31
40,39,46,31
43,58,50,31
43,77,53,35
56,80,60,38
60,100,60,40

8,15,3,0
18,15,18,1
36,18,23,1
39,18,38,9
56,18,43,13
70,28,43,15
74,29,46,33
98,31,46,33
121,33,46,34

0,13,3,10
0,19,23,10
1,24,43,10
15,29,47,13
20,36,60,14
20,52,64,20
36,57,69,20
45,57,69,37
45,77,73,39
45,90,83,42
49,103,84,50

4,17,4,1
23,17,6,6
24,36,7,11
24,36,11,33
41,36,20,33
41,56,25,34
42,81,25,34
42,96,28,42
46,104,42,42

2,21,2,1
7,23,8,14
7,44,10,17
24,45,14,21
29,45,14,42
29,55,27,45
29,60,28,65
33,60,32,83
33,82,32,87
42,84,32,102

1,17,4,4
5,18,4,25
21,22,10,25
27,22,26,29
41,30,29,30
64,32,30,30
71,49,31,31
75,49,49,35
82,51,65,36
82,75,65,38
86,81,81,38
93,81,84,54
93,81,93,71
102,81,108,73

4,3,13,6
21,12,13,6
32,13,27,6
32,38,27,7
32,41,41,16
40,44,56,16
41,48,73,20
44,57,86,21
45,76,86,27
49,89,86,36
68,94,87,37
68,100,93,51

14,0,0,12
29,10,0,13
31,24,4,19
31,47,6,20
32,66,10,22
37,71,10,38
46,84,10,42
46,87,30,45
46,104,31,53

0,22,4,0
1,31,7,13
15,39,11,13
15,45,12,32
19,58,20,33
42,58,22,34
50,59,39,34
50,61,45,52
50,62,56,66
51,66,58,85
77,92,84,85
77,104,97,86

